"time","an.cell.l2.v","n.cell.l2.v","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
0.0001,-0.08936358800428847,-0.0894985929410064,-0.0893104497199169,-0.08936358800428847,-0.0894985929410064,-0.0893104497199169
0.0002,-0.08873698082765703,-0.08900417401275997,-0.08863306477567377,-0.08873698082765703,-0.08900417401275997,-0.08863306477567377
0.0003,-0.08811987294341797,-0.08851663106191424,-0.08796743453599092,-0.08811987294341797,-0.08851663106191424,-0.08796743453599092
0.0004,-0.08751197737780281,-0.08803585386977741,-0.08731317166465637,-0.08751197737780281,-0.08803585386977741,-0.08731317166465637
0.0005,-0.08691302325540297,-0.08756173414929641,-0.08666990935807951,-0.08691302325540297,-0.08756173414929641,-0.08666990935807951
0.0005999999999999999,-0.08632275409709959,-0.08709416553575897,-0.08603729958139897,-0.08632275409709959,-0.08709416553575897,-0.08603729958139897
0.0007,-0.08574092639590353,-0.08663304357227254,-0.0854150115509706,-0.08574092639590353,-0.08663304357227254,-0.0854150115509706
0.0008,-0.08516730841890041,-0.08617826569092794,-0.08480273041933846,-0.08516730841890041,-0.08617826569092794,-0.08480273041933846
0.0009,-0.08460167919330522,-0.08572973119042628,-0.08420015612711555,-0.08460167919330522,-0.08572973119042628,-0.08420015612711555
0.001,-0.08404382764263943,-0.08528734121083693,-0.08360700239297932,-0.08404382764263943,-0.08528734121083693,-0.08360700239297932
0.0011,-0.08349355184547788,-0.08485099870605656,-0.08302299581840764,-0.08349355184547788,-0.08485099870605656,-0.08302299581840764
0.0012,-0.08295065839447434,-0.08442060841445831,-0.08244787508821103,-0.08295065839447434,-0.08442060841445831,-0.08244787508821103
0.0013,-0.08241496183759515,-0.08399607682814744,-0.08188139025144318,-0.08241496183759515,-0.08399607682814744,-0.08188139025144318
0.0014,-0.08188628418703872,-0.08357731216119736,-0.08132330207029506,-0.08188628418703872,-0.08357731216119736,-0.08132330207029506
0.0015,-0.08136445448353594,-0.08316422431705468,-0.08077338142608688,-0.08136445448353594,-0.08316422431705468,-0.08077338142608688
0.0016,-0.08084930840762607,-0.08275672485565445,-0.08023140877571408,-0.08084930840762607,-0.08275672485565445,-0.08023140877571408
0.0017,-0.08034068792860669,-0.08235472696008464,-0.07969717364950021,-0.08034068792860669,-0.08235472696008464,-0.07969717364950021
0.0018,-0.07983844098601901,-0.08195814540326142,-0.07917047418650397,-0.07983844098601901,-0.08195814540326142,-0.07917047418650397
0.0019,-0.07934242119813233,-0.08156689651466185,-0.07865111670203057,-0.07934242119813233,-0.08156689651466185,-0.07865111670203057
0.002,-0.07885248759336355,-0.08118089814725718,-0.07813891528362579,-0.07885248759336355,-0.08118089814725718,-0.07813891528362579
0.0021,-0.07836850436127014,-0.08080006964475435,-0.07763369141237357,-0.07836850436127014,-0.08080006964475435,-0.07763369141237357
0.0022,-0.07789034062038128,-0.08042433180923278,-0.07713527360683969,-0.07789034062038128,-0.08042433180923278,-0.07713527360683969
0.0023,-0.07741787020063044,-0.08005360686924852,-0.07664349708741856,-0.07741787020063044,-0.08005360686924852,-0.07664349708741856
0.0024,-0.07695097143855462,-0.07968781844846305,-0.07615820345917831,-0.07695097143855462,-0.07968781844846305,-0.07615820345917831
0.0025,-0.07648952698375094,-0.07932689153484279,-0.07567924041157349,-0.07648952698375094,-0.07932689153484279,-0.07567924041157349
0.0026,-0.07603342361533721,-0.07897075245046457,-0.07520646143361501,-0.07603342361533721,-0.07897075245046457,-0.07520646143361501
0.0027,-0.07558255206738036,-0.07861932882195535,-0.07473972554327815,-0.07558255206738036,-0.07861932882195535,-0.07473972554327815
0.0028,-0.07513680686240139,-0.07827254955158283,-0.07427889703004473,-0.07513680686240139,-0.07827254955158283,-0.07427889703004473
0.0029,-0.07469608615223228,-0.07793034478901419,-0.07382384520964805,-0.07469608615223228,-0.07793034478901419,-0.07382384520964805
0.003,-0.07426029156557741,-0.07759264590374924,-0.07337444419013948,-0.07426029156557741,-0.07759264590374924,-0.07337444419013948
0.0031,-0.07382932806181912,-0.07725938545826294,-0.07293057264862303,-0.07382932806181912,-0.07725938545826294,-0.07293057264862303
0.0032,-0.07340310378995477,-0.07693049718163032,-0.07249211361708666,-0.07340310378995477,-0.07693049718163032,-0.07249211361708666
0.0033,-0.07298152995403888,-0.07660591594428626,-0.07205895427912877,-0.07298152995403888,-0.07660591594428626,-0.07205895427912877
0.0034,-0.0725645206818018,-0.07628557773283394,-0.07163098577296736,-0.0725645206818018,-0.07628557773283394,-0.07163098577296736
0.0035,-0.07215199289912691,-0.07596941962601456,-0.07120810300428679,-0.07215199289912691,-0.07596941962601456,-0.07120810300428679
0.0036,-0.07174386620802968,-0.07565737977107431,-0.07079020446562609,-0.07174386620802968,-0.07565737977107431,-0.07079020446562609
0.0037,-0.0713400627689328,-0.07534939736093099,-0.07037719206328624,-0.0713400627689328,-0.07534939736093099,-0.07037719206328624
0.0038,-0.07094050718579646,-0.0750454126116603,-0.06996897094973219,-0.07094050718579646,-0.0750454126116603,-0.06996897094973219
0.0039,-0.07054512639555269,-0.07474536674099667,-0.0695654493633219,-0.07054512639555269,-0.07474536674099667,-0.0695654493633219
0.004,-0.07015384955989688,-0.07444920194713181,-0.06916653847267923,-0.07015384955989688,-0.07444920194713181,-0.06916653847267923
0.0041,-0.06976660796021443,-0.07415686138822365,-0.06877215222665931,-0.06976660796021443,-0.07415686138822365,-0.06877215222665931
0.0042,-0.06938333489488838,-0.07386828916237426,-0.06838220720882807,-0.06938333489488838,-0.07386828916237426,-0.06838220720882807
0.0043,-0.06900396557930377,-0.07358343028831604,-0.06799662249678802,-0.06900396557930377,-0.07358343028831604,-0.06799662249678802
0.0044,-0.06862843704766761,-0.07330223068648144,-0.06761531952512993,-0.06862843704766761,-0.07330223068648144,-0.06761531952512993
0.0045,-0.0682566880567638,-0.07302463716058795,-0.06723822195210305,-0.0682566880567638,-0.07302463716058795,-0.06723822195210305
0.0046,-0.06788865899174149,-0.07275059737989624,-0.06686525553006521,-0.06788865899174149,-0.07275059737989624,-0.06686525553006521
0.0047,-0.06752429177303867,-0.07248005986176674,-0.06649634797850237,-0.06752429177303867,-0.07248005986176674,-0.06649634797850237
0.0048,-0.06716352976477198,-0.07221297395477136,-0.0661314288599959,-0.06716352976477198,-0.07221297395477136,-0.0661314288599959
0.0049,-0.06680631768415263,-0.07194928982221399,-0.06577042945853274,-0.06680631768415263,-0.07194928982221399,-0.06577042945853274
0.005,-0.06645260151202519,-0.07168895842622729,-0.06541328266024218,-0.06645260151202519,-0.07168895842622729,-0.06541328266024218
0.0051,-0.06610232840382739,-0.07143193151210631,-0.06505992283563931,-0.06610232840382739,-0.07143193151210631,-0.06505992283563931
0.0052,-0.06575544660132036,-0.07117816159320151,-0.06471028572379452,-0.06575544660132036,-0.07117816159320151,-0.06471028572379452
0.0053,-0.06541190534456939,-0.07092760193613169,-0.06436430831775235,-0.06541190534456939,-0.07092760193613169,-0.06436430831775235
0.0054,-0.06507165478415167,-0.07068020654640068,-0.06402192875115938,-0.06507165478415167,-0.07068020654640068,-0.06402192875115938
0.0055,-0.06473464589343843,-0.07043593015442715,-0.06368308618590056,-0.06473464589343843,-0.07043593015442715,-0.06368308618590056
0.0056,-0.06440083038074781,-0.07019472820193698,-0.06334772070048901,-0.06440083038074781,-0.07019472820193698,-0.06334772070048901
0.0057,-0.06407016060111508,-0.06995655682861236,-0.06301577317889817,-0.06407016060111508,-0.06995655682861236,-0.06301577317889817
0.0058,-0.06374258946775416,-0.06972137285916588,-0.06268718519993924,-0.06374258946775416,-0.06972137285916588,-0.06268718519993924
0.0059,-0.06341807036292729,-0.0694891337907151,-0.06236189892684853,-0.06341807036292729,-0.0694891337907151,-0.06236189892684853
0.006,-0.06309655704813819,-0.06925979778047402,-0.06203985699700319,-0.06309655704813819,-0.06925979778047402,-0.06203985699700319
0.0061,-0.06277800357352788,-0.06903332363374787,-0.06172100241164649,-0.06277800357352788,-0.06903332363374787,-0.06172100241164649
0.0062,-0.06246236418636983,-0.06880967079222268,-0.06140527842553165,-0.06246236418636983,-0.06880967079222268,-0.06140527842553165
0.0063,-0.06214959323856915,-0.06858879932253936,-0.06109262843641421,-0.06214959323856915,-0.06858879932253936,-0.06109262843641421
0.0064,-0.06183964509308706,-0.06837066990514253,-0.06078299587434867,-0.06183964509308706,-0.06837066990514253,-0.06078299587434867
0.0065,-0.06153247402922393,-0.06815524382339534,-0.06047632409077255,-0.06153247402922393,-0.06815524382339534,-0.06047632409077255
0.0066,-0.06122803414671182,-0.06794248295295158,-0.06017255624739205,-0.06122803414671182,-0.06794248295295158,-0.06017255624739205
0.0067,-0.06092627926858597,-0.06773234975137597,-0.0598716352049171,-0.06092627926858597,-0.06773234975137597,-0.0598716352049171
0.0068,-0.06062716284282482,-0.06752480724800518,-0.05957350341173122,-0.06062716284282482,-0.06752480724800518,-0.05957350341173122
0.0069,-0.06033063784277278,-0.0673198190340412,-0.0592781027926222,-0.06033063784277278,-0.0673198190340412,-0.0592781027926222
