"time","ca_cyto.c.c","ca_nsr.c.c"
0,0.0001206,1.068
0.0001,0.000118458923369681,1.068083059007229
0.0002,0.0001163496845946135,1.068164882925245
0.0003,0.000114271993634422,1.068245483005614
0.0004,0.0001122255583278347,1.06832487058218
0.0005,0.0001102100843051818,1.068403057074455
0.0005999999999999999,0.0001082252751307234,1.068480053982102
0.0007,0.0001062708324491999,1.068555872879246
0.0008,0.0001043464561087245,1.068630525409712
0.0009,0.0001024518443020462,1.068704023281539
0.001,0.0001005866937070625,1.068776378261533
0.0011,9.87506996190726e-05,1.068847602170134
0.0012,9.694355607777702e-05,1.068917706876492
0.0013,9.516495601925298e-05,1.068986704292571
0.0014,9.34145913976725e-05,1.069054606368423
0.0015,9.169215331405962e-05,1.069121425087198
0.0016,8.999733214233309e-05,1.069187172460254
0.0017,8.832981765726259e-05,1.069251860522189
0.0018,8.668929916630701e-05,1.069315501325731
0.0019,8.507546563203741e-05,1.069378106936988
0.002,8.348800579987222e-05,1.06943968943049
0.0021,8.19266083170461e-05,1.069500260884579
0.0022,8.039096185533967e-05,1.06955983337664
0.0023,7.88807552209682e-05,1.069618418978848
0.0024,7.739567747970614e-05,1.069676029753307
0.0025,7.593541805512329e-05,1.069732677748238
0.0026,7.449966685932543e-05,1.069788374992915
0.0027,7.308811437808871e-05,1.069843133494354
0.0028,7.170045180463317e-05,1.069896965232129
0.0029,7.033637111367477e-05,1.069949882155497
0.003,6.899556519464173e-05,1.070001896178229
0.0031,6.767772791667619e-05,1.070053019176092
0.0032,6.638255425903225e-05,1.070103262981788
0.0033,6.510974036998457e-05,1.070152639382667
0.0034,6.385898369032395e-05,1.07020116011594
0.0035,6.262998301103404e-05,1.07024883686644
0.0036,6.142243858548368e-05,1.070295681262269
0.0037,6.023605218906357e-05,1.070341704872485
0.0038,5.90705272173646e-05,1.070386919203294
0.0039,5.792556874968621e-05,1.070431335695584
0.004,5.680088363095616e-05,1.070474965721751
0.0041,5.569618054159219e-05,1.070517820582986
0.0042,5.461117006027159e-05,1.070559911506839
0.0043,5.354556474343909e-05,1.070601249644139
0.0044,5.24990791656279e-05,1.070641846067425
0.0045,5.147143001091511e-05,1.070681711767401
0.0046,5.046233609314322e-05,1.070720857652151
0.0047,4.947151845077463e-05,1.070759294543458
0.0048,4.849870035820949e-05,1.070797033176367
0.0049,4.754360741514165e-05,1.070834084195719
0.005,4.660596755478344e-05,1.070870458155827
0.0051,4.568551112455219e-05,1.070906165517352
0.0052,4.478197089339596e-05,1.070941216647016
0.0053,4.389508212214935e-05,1.070975621814874
0.0054,4.302458257196682e-05,1.071009391193983
0.0055,4.217021256264714e-05,1.071042534858145
0.0056,4.13317149841757e-05,1.071075062781455
0.0057,4.050883534136515e-05,1.071106984836571
0.0058,3.970132177048752e-05,1.071138310794069
0.0059,3.890892506861796e-05,1.071169050321303
0.006,3.813139871733335e-05,1.071199212981489
0.0061,3.736849889519097e-05,1.071228808233217
0.0062,3.66199845103942e-05,1.071257845429185
0.0063,3.588561719509229e-05,1.071286333816422
0.0064,3.516516134737256e-05,1.071314282534659
0.0065,3.445838411208745e-05,1.071341700617068
0.0066,3.376505542211538e-05,1.071368596988668
0.0067,3.308494797671009e-05,1.071394980467159
0.0068,3.241783727630746e-05,1.071420859761577
0.0069,3.176350160057606e-05,1.071446243473141
0.007,3.112172203602835e-05,1.071471140094185
0.0071,3.049228245493837e-05,1.071495558008974
0.0072,2.987496953505029e-05,1.07151950549294
0.0073,2.926957274047923e-05,1.071542990713425
0.0074,2.867588433287239e-05,1.071566021729242
0.0075,2.809369935532961e-05,1.071588606491306
0.0076,2.752281563445854e-05,1.071610752842552
0.0077,2.696303376824921e-05,1.071632468518401
0.0078,2.641415711856982e-05,1.071653761147057
0.007900000000000001,2.587599180380722e-05,1.071674638249789
0.008,2.534834668147351e-05,1.071695107241609
0.0081,2.48310333460927e-05,1.071715175431347
0.008200000000000001,2.432386610267257e-05,1.071734850022692
0.0083,2.382666196802119e-05,1.071754138114126
0.008399999999999999,2.333924063912904e-05,1.071773046700165
0.008500000000000001,2.286142449290272e-05,1.071791582671359
0.0086,2.239303855425928e-05,1.071809752815534
0.008699999999999999,2.193391049203824e-05,1.071827563817952
0.008800000000000001,2.148387058776292e-05,1.071845022262518
0.0089,2.104275172757123e-05,1.071862134632098
0.008999999999999999,2.061038937211607e-05,1.071878907309684
0.0091,2.018662154442371e-05,1.071895346578865
0.0092,1.977128880131537e-05,1.071911458624938
0.009299999999999999,1.936423421718136e-05,1.071927249535533
0.0094,1.896530335720503e-05,1.071942725301656
0.0095,1.857434425712979e-05,1.071957891818472
0.009599999999999999,1.81912073984572e-05,1.071972754886269
0.0097,1.781574568438012e-05,1.071987320211387
0.0098,1.744781441701071e-05,1.072001593407107
0.009900000000000001,1.70872712697553e-05,1.072015579994719
0.01,1.67339762663891e-05,1.072029285404336
0.0101,1.638779175084143e-05,1.072042714976062
0.0102,1.604858236669413e-05,1.072055873960795
0.0103,1.571621502634213e-05,1.072068767521415
0.0104,1.539055888944562e-05,1.072081400733625
0.0105,1.507148533261123e-05,1.072093778587125
0.0106,1.475886792645271e-05,1.072105905986505
0.0107,1.445258240598016e-05,1.072117787752388
0.0108,1.415250664640001e-05,1.072129428622374
0.0109,1.3858520634244e-05,1.072140833252158
0.011,1.357050644209728e-05,1.072152006216512
0.0111,1.328834820042435e-05,1.072162952010371
0.0112,1.301193207147526e-05,1.072173675049859
0.0113,1.274114622168918e-05,1.072184179673345
0.0114,1.247588079506255e-05,1.072194470142483
0.0115,1.221602788593488e-05,1.072204550643271
0.0116,1.196148151216414e-05,1.072214425287083
0.0117,1.171213758804207e-05,1.072224098111727
