"time","l2.v","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
0,-0.05,-4.322280810351865e-14,0,-0.12,0,-0.05
0.1,-0.05,-1.723872584616584e-13,0,-0.12,0,-0.05
0.2,-0.05,-2.90792452494196e-13,0,-0.12,0,-0.05
0.3,-0.05,-3.993012838310592e-13,0,-0.12,0,-0.05
0.4,-0.05,-4.987566193647619e-13,0,-0.12,0,-0.05
0.5,-0.05,-5.89921085301179e-13,0,-0.12,0,-0.05
0.6,-0.05,-6.73485892365557e-13,0,-0.12,0,-0.05
0.7,-0.05,-7.500839600909102e-13,0,-0.12,0,-0.05
0.8,-0.05,-8.202982733853895e-13,0,-0.12,0,-0.05
0.9,-0.05,-8.846602948593253e-13,0,-0.12,0,-0.05
1,-0.05,-9.436564891087092e-13,0,-0.12,0,-0.05
1.1,-0.05,-9.977338802315721e-13,0,-0.12,0,-0.05
1.2,-0.05,-1.047302079844934e-12,0,-0.12,0,-0.05
1.3,-0.05,-1.092737248138259e-12,0,-0.12,0,-0.05
1.4,-0.05,-1.134384223536896e-12,0,-0.12,0,-0.05
1.5,-0.05,-1.172558126862348e-12,0,-0.12,0,-0.05
1.6,-0.05,-1.207548680851078e-12,0,-0.12,0,-0.05
1.7,-0.05,-1.239621541358841e-12,0,-0.12,0,-0.05
1.8,-0.05,-1.26902005179714e-12,0,-0.12,0,-0.05
1.9,-0.05,-1.295967456978971e-12,0,-0.12,0,-0.05
2,-0.05,-1.32066822259068e-12,0,-0.12,0,-0.05
2.1,-0.05,-1.343309587415252e-12,0,-0.12,0,-0.05
2.2,-0.05,-1.364063077913287e-12,0,-0.12,0,-0.05
2.3,-0.05,-1.38308603711545e-12,0,-0.12,0,-0.05
2.4,-0.05,-1.400522451295033e-12,0,-0.12,0,-0.05
2.5,-0.05,-1.416504631499471e-12,0,-0.12,0,-0.05
2.6,-0.05,-1.431154319756499e-12,0,-0.12,0,-0.05
2.7,-0.05,-1.444581738405232e-12,0,-0.12,0,-0.05
2.8,-0.05,-1.45688993376723e-12,0,-0.12,0,-0.05
2.9,-0.05,-1.468171911107133e-12,0,-0.12,0,-0.05
3,-0.05,-1.47851309020588e-12,0,-0.12,0,-0.05
3.1,-0.05,-1.487992931273498e-12,0,-0.12,0,-0.05
3.2,-0.05,-1.496681991691038e-12,0,-0.12,0,-0.05
3.3,-0.05,-1.504647064330246e-12,0,-0.12,0,-0.05
3.4,-0.05,-1.51194831536531e-12,0,-0.12,0,-0.05
3.5,-0.05,-1.518640662839032e-12,0,-0.12,0,-0.05
3.6,-0.05,-1.52477545151809e-12,0,-0.12,0,-0.05
3.7,-0.05,-1.530398358748255e-12,0,-0.12,0,-0.05
3.8,-0.05,-1.535552593727213e-12,0,-0.12,0,-0.05
3.9,-0.05,-1.540277222786387e-12,0,-0.12,0,-0.05
4,-0.05,-1.544607682493897e-12,0,-0.12,0,-0.05
4.000000000500005,-0.05,-1.544607682514621e-12,0,-0.12,0,-0.05
4.000000000500005,-0.05,-1.544607682514621e-12,0,-0.12,0,-0.05
4.1,-0.05,-1.54857888328523e-12,0,-0.12,0,-0.05
4.2,-0.05,-1.552222563256872e-12,0,-0.12,0,-0.05
4.3,-0.05,-1.555565467817995e-12,0,-0.12,0,-0.05
4.4,-0.05,-1.558628958123636e-12,0,-0.12,0,-0.05
4.5,-0.05,-1.561437386309975e-12,0,-0.12,0,-0.05
4.6,-0.05,-1.564011114946054e-12,0,-0.12,0,-0.05
4.7,-0.05,-1.566367611990114e-12,0,-0.12,0,-0.05
4.8,-0.05,-1.568524320647084e-12,0,-0.12,0,-0.05
4.9,-0.05,-1.570498721927634e-12,0,-0.12,0,-0.05
5,-0.05,-1.572308231841108e-12,0,-0.12,0,-0.05
5.1,-0.05,-1.573966405043412e-12,0,-0.12,0,-0.05
5.2,-0.05,-1.575488793261097e-12,0,-0.12,0,-0.05
5.3,-0.05,-1.576884430425705e-12,0,-0.12,0,-0.05
5.4,-0.05,-1.578165715926845e-12,0,-0.12,0,-0.05
5.5,-0.05,-1.579339898415251e-12,0,-0.12,0,-0.05
5.6,-0.05,-1.580416741302218e-12,0,-0.12,0,-0.05
5.7,-0.05,-1.58140261210727e-12,0,-0.12,0,-0.05
5.8,-0.05,-1.582305313975487e-12,0,-0.12,0,-0.05
5.9,-0.05,-1.583132104412179e-12,0,-0.12,0,-0.05
6,-0.05,-1.583889585166878e-12,0,-0.12,0,-0.05
6.1,-0.05,-1.584584116643373e-12,0,-0.12,0,-0.05
6.2,-0.05,-1.585220684727288e-12,0,-0.12,0,-0.05
6.3,-0.05,-1.585804162090208e-12,0,-0.12,0,-0.05
6.4,-0.05,-1.586338686338737e-12,0,-0.12,0,-0.05
6.5,-0.05,-1.586828325439005e-12,0,-0.12,0,-0.05
6.6,-0.05,-1.587278054458715e-12,0,-0.12,0,-0.05
6.7,-0.05,-1.587690653918036e-12,0,-0.12,0,-0.05
6.8,-0.05,-1.588069137623306e-12,0,-0.12,0,-0.05
6.9,-0.05,-1.588416534544472e-12,0,-0.12,0,-0.05
7,-0.05,-1.588735093499496e-12,0,-0.12,0,-0.05
7.1,-0.05,-1.589026830771234e-12,0,-0.12,0,-0.05
7.2,-0.05,-1.589294428744193e-12,0,-0.12,0,-0.05
7.3,-0.05,-1.589540004465403e-12,0,-0.12,0,-0.05
7.4,-0.05,-1.589764903451487e-12,0,-0.12,0,-0.05
7.5,-0.05,-1.589970816873128e-12,0,-0.12,0,-0.05
7.6,-0.05,-1.590159797431684e-12,0,-0.12,0,-0.05
7.7,-0.05,-1.590332858112567e-12,0,-0.12,0,-0.05
7.8,-0.05,-1.590491171656266e-12,0,-0.12,0,-0.05
7.9,-0.05,-1.59063643440279e-12,0,-0.12,0,-0.05
8,-0.05,-1.590769483277552e-12,0,-0.12,0,-0.05
8.1,-0.05,-1.590891264739591e-12,0,-0.12,0,-0.05
8.199999999999999,-0.05,-1.591002871358565e-12,0,-0.12,0,-0.05
8.300000000000001,-0.05,-1.59110517809643e-12,0,-0.12,0,-0.05
8.4,-0.05,-1.591198870778808e-12,0,-0.12,0,-0.05
8.5,-0.05,-1.591284665616042e-12,0,-0.12,0,-0.05
8.6,-0.05,-1.591363306634498e-12,0,-0.12,0,-0.05
8.699999999999999,-0.05,-1.591435333554173e-12,0,-0.12,0,-0.05
8.800000000000001,-0.05,-1.591501287150575e-12,0,-0.12,0,-0.05
8.9,-0.05,-1.591561716493426e-12,0,-0.12,0,-0.05
9,-0.05,-1.591617083926207e-12,0,-0.12,0,-0.05
9.1,-0.05,-1.591667841837013e-12,0,-0.12,0,-0.05
9.199999999999999,-0.05,-1.591714320170228e-12,0,-0.12,0,-0.05
9.300000000000001,-0.05,-1.591756859218112e-12,0,-0.12,0,-0.05
9.4,-0.05,-1.591795789197882e-12,0,-0.12,0,-0.05
9.5,-0.05,-1.591831396019383e-12,0,-0.12,0,-0.05
9.6,-0.05,-1.591863940541159e-12,0,-0.12,0,-0.05
9.699999999999999,-0.05,-1.591893661946499e-12,0,-0.12,0,-0.05
9.800000000000001,-0.05,-1.591920793035009e-12,0,-0.12,0,-0.05
9.9,-0.05,-1.59194563914509e-12,0,-0.12,0,-0.05
10,-0.05,-1.591968376856109e-12,0,-0.12,0,-0.05
10.1,-0.05,-1.591989228229783e-12,0,-0.12,0,-0.05
10.2,-0.05,-1.592008417868172e-12,0,-0.12,0,-0.05
10.3,-0.05,-1.592026176931232e-12,0,-0.12,0,-0.05
10.4,-0.05,-1.592042667224418e-12,0,-0.12,0,-0.05
10.5,-0.05,-1.592057626160049e-12,0,-0.12,0,-0.05
10.6,-0.05,-1.592071456931098e-12,0,-0.12,0,-0.05
10.7,-0.05,-1.592084296174585e-12,0,-0.12,0,-0.05
10.8,-0.05,-1.59209627799203e-12,0,-0.12,0,-0.05
10.9,-0.05,-1.592107535708846e-12,0,-0.12,0,-0.05
11,-0.05,-1.592118113436545e-12,0,-0.12,0,-0.05
11.1,-0.05,-1.592127672264842e-12,0,-0.12,0,-0.05
11.2,-0.05,-1.592136483032591e-12,0,-0.12,0,-0.05
11.3,-0.05,-1.592144551379946e-12,0,-0.12,0,-0.05
11.4,-0.05,-1.592151866677641e-12,0,-0.12,0,-0.05
