"time","a1.vc.v_stim","a2.vc.v_stim","a3.vc.v_stim","b1.vc.v_stim","b2.vc.v_stim","b3.vc.v_stim","c1.vc.v_stim","c2.vc.v_stim","c3.vc.v_stim","d1.vc.v_stim","d2.vc.v_stim","d3.vc.v_stim","a1.naca.i_ion","a2.naca.i_ion","a3.naca.i_ion","b1.naca.i_ion","b2.naca.i_ion","b3.naca.i_ion","c1.naca.i_ion","c2.naca.i_ion","c3.naca.i_ion","d1.naca.i_ion","d2.naca.i_ion","d3.naca.i_ion","a1.naca.i","a1.vc.v","a2.naca.i","a2.vc.v","a3.naca.i","a3.vc.v","b1.naca.i","b1.vc.v","b2.naca.i","b2.vc.v","b3.naca.i","b3.vc.v","c1.naca.i","c1.vc.v","c2.naca.i","c2.vc.v","c3.naca.i","c3.vc.v","d1.naca.i","d1.vc.v","d2.naca.i","d2.vc.v","d3.naca.i","d3.vc.v"
0,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,1.928532052666613e-11,5.571543927179371e-12,5.212542068170511e-13,1.101386849408818e-11,7.465881746052415e-12,1.221123981412296e-12,-5.015188962764312e-11,-2.708343566208904e-11,-8.877868918926767e-12,-1.458415601173468e-10,-1.241044774626084e-10,-8.493907342799256e-11,1.928532052666613e-11,-0.14,5.571543927179371e-12,-0.14,5.212542068170511e-13,-0.14,1.101386849408818e-11,-0.14,7.465881746052415e-12,-0.14,1.221123981412296e-12,-0.14,-5.015188962764312e-11,-0.14,-2.708343566208904e-11,-0.14,-8.877868918926767e-12,-0.14,-1.458415601173468e-10,-0.14,-1.241044774626084e-10,-0.14,-8.493907342799256e-11,-0.14
1,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,-0.139,1.954420297808965e-11,5.670074814888694e-12,5.312950356855487e-13,1.113930777230629e-11,7.566455741301199e-12,1.242074106039527e-12,-4.992495916087664e-11,-2.692389864553261e-11,-8.813227582319099e-12,-1.452613514182291e-10,-1.235544730813523e-10,-8.451055039493627e-11,1.954420297808965e-11,-0.139,5.670074814888694e-12,-0.139,5.312950356855487e-13,-0.139,1.113930777230629e-11,-0.139,7.566455741301199e-12,-0.139,1.242074106039527e-12,-0.139,-4.992495916087664e-11,-0.139,-2.692389864553261e-11,-0.139,-8.813227582319099e-12,-0.139,-1.452613514182291e-10,-0.139,-1.235544730813523e-10,-0.139,-8.451055039493627e-11,-0.139
2,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,1.980601282576469e-11,5.770210065126963e-12,5.41521905790332e-13,1.126575056545532e-11,7.668077243059881e-12,1.263353950997095e-12,-4.969842211662354e-11,-2.676459869846577e-11,-8.748702958962128e-12,-1.446800938395871e-10,-1.230039451981983e-10,-8.408220688445549e-11,1.980601282576469e-11,-0.138,5.770210065126963e-12,-0.138,5.41521905790332e-13,-0.138,1.126575056545532e-11,-0.138,7.668077243059881e-12,-0.138,1.263353950997095e-12,-0.138,-4.969842211662354e-11,-0.138,-2.676459869846577e-11,-0.138,-8.748702958962128e-12,-0.138,-1.446800938395871e-10,-0.138,-1.230039451981983e-10,-0.138,-8.408220688445549e-11,-0.138
3,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,2.00707701744394e-11,5.871972104563235e-12,5.519380748562466e-13,1.139319662145261e-11,7.77075051434868e-12,1.284967986596032e-12,-4.947228063352357e-11,-2.660553351572174e-11,-8.684293957504486e-12,-1.44097803080028e-10,-1.224529056049525e-10,-8.365404487632628e-11,2.00707701744394e-11,-0.137,5.871972104563235e-12,-0.137,5.519380748562466e-13,-0.137,1.139319662145261e-11,-0.137,7.77075051434868e-12,-0.137,1.284967986596032e-12,-0.137,-4.947228063352357e-11,-0.137,-2.660553351572174e-11,-0.137,-8.684293957504486e-12,-0.137,-1.44097803080028e-10,-0.137,-1.224529056049525e-10,-0.137,-8.365404487632628e-11,-0.137
4,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,-0.136,2.033849495410104e-11,5.975383572091314e-12,5.625468528264219e-13,1.152164551602763e-11,7.87447968698088e-12,1.306920726294333e-12,-4.924653683472046e-11,-2.644670078736321e-11,-8.619999517886999e-12,-1.435144950227212e-10,-1.219013661799808e-10,-8.322606631490744e-11,2.033849495410104e-11,-0.136,5.975383572091314e-12,-0.136,5.625468528264219e-13,-0.136,1.152164551602763e-11,-0.136,7.87447968698088e-12,-0.136,1.306920726294333e-12,-0.136,-4.924653683472046e-11,-0.136,-2.644670078736321e-11,-0.136,-8.619999517886999e-12,-0.136,-1.435144950227212e-10,-0.136,-1.219013661799808e-10,-0.136,-8.322606631490744e-11,-0.136
5,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,-0.135,2.060920691099441e-11,6.080467317878137e-12,5.733516025767064e-13,1.165109665084706e-11,7.979268758316016e-12,1.329216726671495e-12,-4.902119282789845e-11,-2.628809819962372e-11,-8.555818612435325e-12,-1.429301857350056e-10,-1.213493388883436e-10,-8.279827310971236e-11,2.060920691099441e-11,-0.135,6.080467317878137e-12,-0.135,5.733516025767064e-13,-0.135,1.165109665084706e-11,-0.135,7.979268758316016e-12,-0.135,1.329216726671495e-12,-0.135,-4.902119282789845e-11,-0.135,-2.628809819962372e-11,-0.135,-8.555818612435325e-12,-0.135,-1.429301857350056e-10,-0.135,-1.213493388883436e-10,-0.135,-8.279827310971236e-11,-0.135
6,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,2.08829255985235e-11,6.187246402300807e-12,5.843557406360889e-13,1.178154925169192e-11,8.085121588018072e-12,1.351860587389127e-12,-4.879625070532137e-11,-2.612972343588399e-11,-8.49175024697593e-12,-1.423448914679545e-10,-1.207968357819315e-10,-8.237066713601721e-11,2.08829255985235e-11,-0.134,6.187246402300807e-12,-0.134,5.843557406360889e-13,-0.134,1.178154925169192e-11,-0.134,8.085121588018072e-12,-0.134,1.351860587389127e-12,-0.134,-4.879625070532137e-11,-0.134,-2.612972343588399e-11,-0.134,-8.49175024697593e-12,-0.134,-1.423448914679545e-10,-0.134,-1.207968357819315e-10,-0.134,-8.237066713601721e-11,-0.134
7,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,2.115967036803907e-11,6.295744094769037e-12,5.955627379137379e-13,1.191300236668832e-11,8.192041894820863e-12,1.374856951137232e-12,-4.85717125438738e-11,-2.59715741776844e-11,-8.427793461975428e-12,-1.417586286558992e-10,-1.202438689996058e-10,-8.194325023550586e-11,2.115967036803907e-11,-0.133,6.295744094769037e-12,-0.133,5.955627379137379e-13,-0.133,1.191300236668832e-11,-0.133,8.192041894820863e-12,-0.133,1.374856951137232e-12,-0.133,-4.85717125438738e-11,-0.133,-2.59715741776844e-11,-0.133,-8.427793461975428e-12,-0.133,-1.417586286558992e-10,-0.133,-1.202438689996058e-10,-0.133,-8.194325023550586e-11,-0.133
8,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,-0.132,2.143946035951472e-11,6.405983872429826e-12,6.069761204328173e-13,1.204545486459394e-11,8.300033253302804e-12,1.39821050356579e-12,-4.834758040510458e-11,-2.581364810577465e-11,-8.36394733370321e-12,-1.411714139159087e-10,-1.19690450767339e-10,-8.151602421695337e-11,2.143946035951472e-11,-0.132,6.405983872429826e-12,-0.132,6.069761204328173e-13,-0.132,1.204545486459394e-11,-0.132,8.300033253302804e-12,-0.132,1.39821050356579e-12,-0.132,-4.834758040510458e-11,-0.132,-2.581364810577465e-11,-0.132,-8.36394733370321e-12,-0.132,-1.411714139159087e-10,-0.132,-1.19690450767339e-10,-0.132,-8.151602421695337e-11,-0.132
9,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,-0.131,2.172231449211463e-11,6.517989418751226e-12,6.185994700705772e-13,1.217890543314205e-11,8.409099090673329e-12,1.42192597320126e-12,-4.812385633527247e-11,-2.565594290120184e-11,-8.300210975417236e-12,-1.405832640472275e-10,-1.191365933983596e-10,-8.10889908569484e-11,2.172231449211463e-11,-0.131,6.517989418751226e-12,-0.131,6.185994700705772e-13,-0.131,1.217890543314205e-11,-0.131,8.409099090673329e-12,-0.131,1.42192597320126e-12,-0.131,-4.812385633527247e-11,-0.131,-2.565594290120184e-11,-0.131,-8.300210975417236e-12,-0.131,-1.405832640472275e-10,-0.131,-1.191365933983596e-10,-0.131,-8.10889908569484e-11,-0.131
