"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0,-1.274748221565e-13,-1.790245723045026e-11,-1.274748221565e-13,-1.790245723045026e-11
0.0001,-1.156055054604234e-13,-3.168572979389305e-11,-1.156055054604234e-13,-3.168572979389305e-11
0.0002,-1.048585952864559e-13,-3.954053548682097e-11,-1.048585952864559e-13,-3.954053548682097e-11
0.0003,-9.514676916920689e-14,-4.244595643359584e-11,-9.514676916920689e-14,-4.244595643359584e-11
0.0004,-8.637524712493562e-14,-4.371910670079644e-11,-8.637524712493562e-14,-4.371910670079644e-11
0.0005,-7.845288592343074e-14,-4.444512033644352e-11,-7.845288592343074e-14,-4.444512033644352e-11
0.0005999999999999999,-7.129615762783747e-14,-4.497155865696506e-11,-7.129615762783747e-14,-4.497155865696506e-11
0.0007,-6.482962216713668e-14,-4.541032994564968e-11,-6.482962216713668e-14,-4.541032994564968e-11
0.0008,-5.898544624842676e-14,-4.57981623000907e-11,-5.898544624842676e-14,-4.57981623000907e-11
0.0009,-5.370271137215826e-14,-4.614763769992496e-11,-5.370271137215826e-14,-4.614763769992496e-11
0.001,-4.89267195510541e-14,-4.646363092929009e-11,-4.89267195510541e-14,-4.646363092929009e-11
0.0011,-4.460835136818899e-14,-4.674853063167801e-11,-4.460835136818899e-14,-4.674853063167801e-11
0.0012,-4.070348749781857e-14,-4.700389013286018e-11,-4.070348749781857e-14,-4.700389013286018e-11
0.0013,-3.717248954995645e-14,-4.723106792431127e-11,-3.717248954995645e-14,-4.723106792431127e-11
0.0014,-3.397973592719225e-14,-4.743134725243817e-11,-3.397973592719225e-14,-4.743134725243817e-11
0.0015,-3.109321102562084e-14,-4.760598418757626e-11,-3.109321102562084e-14,-4.760598418757626e-11
0.0016,-2.848412300692148e-14,-4.775621283541236e-11,-2.848412300692148e-14,-4.775621283541236e-11
0.0017,-2.612658149519441e-14,-4.788326125442071e-11,-2.612658149519441e-14,-4.788326125442071e-11
0.0018,-2.399729666237635e-14,-4.798832490428596e-11,-2.399729666237635e-14,-4.798832490428596e-11
0.0019,-2.207531932185504e-14,-4.807256577977176e-11,-2.207531932185504e-14,-4.807256577977176e-11
0.002,-2.034180059025451e-14,-4.81371137807043e-11,-2.034180059025451e-14,-4.81371137807043e-11
0.0021,-1.877978038972045e-14,-4.818307047679388e-11,-1.877978038972045e-14,-4.818307047679388e-11
0.0022,-1.73739954350504e-14,-4.821150273169351e-11,-1.73739954350504e-14,-4.821150273169351e-11
0.0023,-1.6110708889511e-14,-4.822343487644862e-11,-1.6110708889511e-14,-4.822343487644862e-11
