"time","cell.cal.i_ion","cell.naca.i_ion","cell.cal.i","cell.naca.i"
0,-1.274748221565e-13,-1.790245723045026e-11,-1.274748221565e-13,-1.790245723045026e-11
0.0001,-1.156055054679891e-13,-3.168574220581487e-11,-1.156055054679891e-13,-3.168574220581487e-11
0.0002,-1.048585952132941e-13,-3.954052315151709e-11,-1.048585952132941e-13,-3.954052315151709e-11
0.0003,-9.514676917717552e-14,-4.244595580629192e-11,-9.514676917717552e-14,-4.244595580629192e-11
0.0004,-8.637524713043388e-14,-4.371910870064656e-11,-8.637524713043388e-14,-4.371910870064656e-11
0.0005,-7.845288593434744e-14,-4.444512549376392e-11,-7.845288593434744e-14,-4.444512549376392e-11
0.0005999999999999999,-7.129615764065325e-14,-4.497156789533306e-11,-7.129615764065325e-14,-4.497156789533306e-11
0.0007,-6.482962216798275e-14,-4.541033672071316e-11,-6.482962216798275e-14,-4.541033672071316e-11
0.0008,-5.898544623864284e-14,-4.579816573995821e-11,-5.898544623864284e-14,-4.579816573995821e-11
0.0009,-5.370271134300636e-14,-4.614763655723471e-11,-5.370271134300636e-14,-4.614763655723471e-11
0.001,-4.892670937502226e-14,-4.646368166134519e-11,-4.892670937502226e-14,-4.646368166134519e-11
0.0011,-4.460832961605676e-14,-4.674857409987811e-11,-4.460832961605676e-14,-4.674857409987811e-11
0.0012,-4.070345765564244e-14,-4.70039080409106e-11,-4.070345765564244e-14,-4.70039080409106e-11
0.0013,-3.717245336943165e-14,-4.723107566675037e-11,-3.717245336943165e-14,-4.723107566675037e-11
0.0014,-3.397970013125024e-14,-4.743134762062147e-11,-3.397970013125024e-14,-4.743134762062147e-11
0.0015,-3.109317220022742e-14,-4.760597343263294e-11,-3.109317220022742e-14,-4.760597343263294e-11
0.0016,-2.848408255618942e-14,-4.775620178790433e-11,-2.848408255618942e-14,-4.775620178790433e-11
0.0017,-2.612648808490294e-14,-4.788325548432953e-11,-2.612648808490294e-14,-4.788325548432953e-11
0.0018,-2.399713538324993e-14,-4.798832297571681e-11,-2.399713538324993e-14,-4.798832297571681e-11
0.0019,-2.207509743806578e-14,-4.807256425837901e-11,-2.207509743806578e-14,-4.807256425837901e-11
0.002,-2.034155325773647e-14,-4.813711228198253e-11,-2.034155325773647e-14,-4.813711228198253e-11
0.0021,-1.87795250925329e-14,-4.818307007274247e-11,-1.87795250925329e-14,-4.818307007274247e-11
0.0022,-1.737373410074199e-14,-4.821150285344097e-11,-1.737373410074199e-14,-4.821150285344097e-11
0.0023,-1.611045205687093e-14,-4.822343508483227e-11,-1.611045205687093e-14,-4.822343508483227e-11
0.0024,-1.497731463955611e-14,-4.821985140796434e-11,-1.497731463955611e-14,-4.821985140796434e-11
0.0025,-1.396320002430298e-14,-4.820169854428048e-11,-1.396320002430298e-14,-4.820169854428048e-11
0.0026,-1.305812116314524e-14,-4.816988399280532e-11,-1.305812116314524e-14,-4.816988399280532e-11
0.0027,-1.225308620893749e-14,-4.812527704735351e-11,-1.225308620893749e-14,-4.812527704735351e-11
0.0028,-1.15399648123889e-14,-4.806870654268102e-11,-1.15399648123889e-14,-4.806870654268102e-11
0.0029,-1.091138191559687e-14,-4.800096262092988e-11,-1.091138191559687e-14,-4.800096262092988e-11
0.003,-1.036084324082499e-14,-4.792279945340287e-11,-1.036084324082499e-14,-4.792279945340287e-11
0.0031,-9.882452548905993e-15,-4.783493232159225e-11,-9.882452548905993e-15,-4.783493232159225e-11
0.0032,-9.470908188470112e-15,-4.773804128834911e-11,-9.470908188470112e-15,-4.773804128834911e-11
0.0033,-9.121466258914871e-15,-4.763277237726533e-11,-9.121466258914871e-15,-4.763277237726533e-11
0.0034,-8.829846042156422e-15,-4.751973622738713e-11,-8.829846042156422e-15,-4.751973622738713e-11
0.0035,-8.592275410365154e-15,-4.739951412346587e-11,-8.592275410365154e-15,-4.739951412346587e-11
0.0036,-8.405290450361975e-15,-4.727265317708475e-11,-8.405290450361975e-15,-4.727265317708475e-11
0.0037,-8.265882314160267e-15,-4.713967283569711e-11,-8.265882314160267e-15,-4.713967283569711e-11
0.0038,-8.171267001003121e-15,-4.700106183474409e-11,-8.171267001003121e-15,-4.700106183474409e-11
0.0039,-8.119048587299154e-15,-4.68572825315202e-11,-8.119048587299154e-15,-4.68572825315202e-11
0.004,-8.107019287529303e-15,-4.670876955234466e-11,-8.107019287529303e-15,-4.670876955234466e-11
0.0041,-8.133255285460573e-15,-4.655593320286086e-11,-8.133255285460573e-15,-4.655593320286086e-11
0.0042,-8.196044692824628e-15,-4.639915958551451e-11,-8.196044692824628e-15,-4.639915958551451e-11
0.0043,-8.293855843834833e-15,-4.6238811613835e-11,-8.293855843834833e-15,-4.6238811613835e-11
0.0044,-8.425364636158068e-15,-4.607523141134712e-11,-8.425364636158068e-15,-4.607523141134712e-11
0.0045,-8.589373708090525e-15,-4.590873967624385e-11,-8.589373708090525e-15,-4.590873967624385e-11
0.0046,-8.784864956261351e-15,-4.57396378452492e-11,-8.784864956261351e-15,-4.57396378452492e-11
0.0047,-9.010916886984473e-15,-4.556820865879847e-11,-9.010916886984473e-15,-4.556820865879847e-11
0.0048,-9.266758690886368e-15,-4.539471711509799e-11,-9.266758690886368e-15,-4.539471711509799e-11
0.0049,-9.551695575771826e-15,-4.521941146720324e-11,-9.551695575771826e-15,-4.521941146720324e-11
0.005,-9.865149976143804e-15,-4.504252437484838e-11,-9.865149976143804e-15,-4.504252437484838e-11
0.0051,-1.020661917473326e-14,-4.486427350524441e-11,-1.020661917473326e-14,-4.486427350524441e-11
0.0052,-1.057567908134771e-14,-4.468486243899146e-11,-1.057567908134771e-14,-4.468486243899146e-11
0.0053,-1.097198127995194e-14,-4.450448157493705e-11,-1.097198127995194e-14,-4.450448157493705e-11
0.0054,-1.139523118536017e-14,-4.432330865868444e-11,-1.139523118536017e-14,-4.432330865868444e-11
0.0055,-1.184521046499326e-14,-4.414150905082609e-11,-1.184521046499326e-14,-4.414150905082609e-11
0.0056,-1.232173501476718e-14,-4.395923730584707e-11,-1.232173501476718e-14,-4.395923730584707e-11
0.0057,-1.28246675153928e-14,-4.377663726920434e-11,-1.28246675153928e-14,-4.377663726920434e-11
0.0058,-1.335390555266205e-14,-4.359384285869338e-11,-1.335390555266205e-14,-4.359384285869338e-11
0.0059,-1.390936706518064e-14,-4.341097995712137e-11,-1.390936706518064e-14,-4.341097995712137e-11
0.006,-1.449099516711164e-14,-4.322816487742238e-11,-1.449099516711164e-14,-4.322816487742238e-11
0.0061,-1.509874274565587e-14,-4.304550637699626e-11,-1.509874274565587e-14,-4.304550637699626e-11
0.0062,-1.573256614789706e-14,-4.286310605524268e-11,-1.573256614789706e-14,-4.286310605524268e-11
0.0063,-1.639262361749854e-14,-4.268105217674541e-11,-1.639262361749854e-14,-4.268105217674541e-11
0.0064,-1.707889531272552e-14,-4.249943252966621e-11,-1.707889531272552e-14,-4.249943252966621e-11
0.0065,-1.77914174207671e-14,-4.231832707190307e-11,-1.77914174207671e-14,-4.231832707190307e-11
0.0066,-1.853023884821137e-14,-4.213780970258649e-11,-1.853023884821137e-14,-4.213780970258649e-11
0.0067,-1.929545776977742e-14,-4.195794724179833e-11,-1.929545776977742e-14,-4.195794724179833e-11
0.0068,-2.008712879511292e-14,-4.177880310399429e-11,-2.008712879511292e-14,-4.177880310399429e-11
