"time","vc.v_stim","vc.i","vc.is_end","vc.v_pulse","vc.vs_end","vc.v"
0,-0.05,-4.322280810351865e-14,0,-0.12,0,-0.05
0.1,-0.05,-1.723727678551178e-13,0,-0.12,0,-0.05
0.2,-0.05,-2.907546971804232e-13,0,-0.12,0,-0.05
0.3,-0.05,-3.992663933984418e-13,0,-0.12,0,-0.05
0.4,-0.05,-4.987307988718907e-13,0,-0.12,0,-0.05
0.5,-0.05,-5.899022421439824e-13,0,-0.12,0,-0.05
0.6,-0.05,-6.734721587261011e-13,0,-0.12,0,-0.05
0.7,-0.05,-7.500743348778949e-13,0,-0.12,0,-0.05
0.8,-0.05,-8.202897141815793e-13,0,-0.12,0,-0.05
0.9,-0.05,-8.846508033625292e-13,0,-0.12,0,-0.05
1,-0.05,-9.43645710769389e-13,0,-0.12,0,-0.05
1.1,-0.05,-9.977218481410943e-13,0,-0.12,0,-0.05
1.2,-0.05,-1.047289323734795e-12,0,-0.12,0,-0.05
1.3,-0.05,-1.092724052547726e-12,0,-0.12,0,-0.05
1.4,-0.05,-1.134370607220502e-12,0,-0.12,0,-0.05
1.5,-0.05,-1.17254483124314e-12,0,-0.12,0,-0.05
1.6,-0.05,-1.207536234281893e-12,0,-0.12,0,-0.05
1.7,-0.05,-1.239610187792889e-12,0,-0.12,0,-0.05
1.8,-0.05,-1.269009937573893e-12,0,-0.12,0,-0.05
1.9,-0.05,-1.295958448517184e-12,0,-0.12,0,-0.05
2,-0.05,-1.320660095553986e-12,0,-0.12,0,-0.05
2.1,-0.05,-1.343302213614417e-12,0,-0.12,0,-0.05
2.2,-0.05,-1.364056518357687e-12,0,-0.12,0,-0.05
2.3,-0.05,-1.38308040844725e-12,0,-0.12,0,-0.05
2.4,-0.05,-1.400518159247204e-12,0,-0.12,0,-0.05
2.5,-0.05,-1.416502016992898e-12,0,-0.12,0,-0.05
2.6,-0.05,-1.431153201733732e-12,0,-0.12,0,-0.05
2.7,-0.05,-1.444582826645449e-12,0,-0.12,0,-0.05
2.8,-0.05,-1.456892740705801e-12,0,-0.12,0,-0.05
2.9,-0.05,-1.468176301149978e-12,0,-0.12,0,-0.05
3,-0.05,-1.478519081427592e-12,0,-0.12,0,-0.05
3.1,-0.05,-1.487999520195203e-12,0,-0.12,0,-0.05
3.2,-0.05,-1.496689516192797e-12,0,-0.12,0,-0.05
3.3,-0.05,-1.504654973520659e-12,0,-0.12,0,-0.05
3.4,-0.05,-1.511956301443711e-12,0,-0.12,0,-0.05
3.5,-0.05,-1.518648872535545e-12,0,-0.12,0,-0.05
3.6,-0.05,-1.524783442615852e-12,0,-0.12,0,-0.05
3.7,-0.05,-1.530406535676117e-12,0,-0.12,0,-0.05
3.8,-0.05,-1.535560796717491e-12,0,-0.12,0,-0.05
3.9,-0.05,-1.540285315162517e-12,0,-0.12,0,-0.05
4,-0.05,-1.54461592130685e-12,0,-0.12,0,-0.05
4.000000000000045,-0.05,-1.544615921306851e-12,0,-0.12,0,-0.05
4.000000000000045,-0.05,-1.544615921306851e-12,0,-0.12,0,-0.05
4.1,-0.05,-1.548585458047279e-12,0,-0.12,0,-0.05
4.2,-0.05,-1.552224030003045e-12,0,-0.12,0,-0.05
4.3,-0.05,-1.555559231717692e-12,0,-0.12,0,-0.05
4.4,-0.05,-1.558616357034166e-12,0,-0.12,0,-0.05
4.5,-0.05,-1.56141859092177e-12,0,-0.12,0,-0.05
4.6,-0.05,-1.563987185246753e-12,0,-0.12,0,-0.05
4.7,-0.05,-1.566341619991829e-12,0,-0.12,0,-0.05
4.8,-0.05,-1.568499750962586e-12,0,-0.12,0,-0.05
4.9,-0.05,-1.570477945218323e-12,0,-0.12,0,-0.05
5,-0.05,-1.572291205194431e-12,0,-0.12,0,-0.05
5.1,-0.05,-1.57395328248069e-12,0,-0.12,0,-0.05
5.2,-0.05,-1.575476782113037e-12,0,-0.12,0,-0.05
5.3,-0.05,-1.576873258166613e-12,0,-0.12,0,-0.05
5.4,-0.05,-1.578153301381999e-12,0,-0.12,0,-0.05
5.5,-0.05,-1.57932661948416e-12,0,-0.12,0,-0.05
5.6,-0.05,-1.580402110805551e-12,0,-0.12,0,-0.05
5.7,-0.05,-1.581387931769578e-12,0,-0.12,0,-0.05
5.8,-0.05,-1.582291558747938e-12,0,-0.12,0,-0.05
5.9,-0.05,-1.58311984476108e-12,0,-0.12,0,-0.05
6,-0.05,-1.583879071450615e-12,0,-0.12,0,-0.05
6.1,-0.05,-1.584574996719505e-12,0,-0.12,0,-0.05
6.2,-0.05,-1.585212898398282e-12,0,-0.12,0,-0.05
6.3,-0.05,-1.585797614272156e-12,0,-0.12,0,-0.05
6.4,-0.05,-1.586333578770243e-12,0,-0.12,0,-0.05
6.5,-0.05,-1.586824856596062e-12,0,-0.12,0,-0.05
6.6,-0.05,-1.587275173553745e-12,0,-0.12,0,-0.05
6.7,-0.05,-1.587687944803929e-12,0,-0.12,0,-0.05
6.8,-0.05,-1.588066300764237e-12,0,-0.12,0,-0.05
6.9,-0.05,-1.588413110849954e-12,0,-0.12,0,-0.05
7,-0.05,-1.588731005235744e-12,0,-0.12,0,-0.05
7.1,-0.05,-1.589022394802178e-12,0,-0.12,0,-0.05
7.2,-0.05,-1.589289489419805e-12,0,-0.12,0,-0.05
7.3,-0.05,-1.5895343147086e-12,0,-0.12,0,-0.05
7.4,-0.05,-1.589758727400122e-12,0,-0.12,0,-0.05
7.5,-0.05,-1.589964429418821e-12,0,-0.12,0,-0.05
7.6,-0.05,-1.590152980789086e-12,0,-0.12,0,-0.05
7.7,-0.05,-1.590325811466447e-12,0,-0.12,0,-0.05
7.8,-0.05,-1.590484232182175e-12,0,-0.12,0,-0.05
7.9,-0.05,-1.590629444383879e-12,0,-0.12,0,-0.05
8,-0.05,-1.590762549346996e-12,0,-0.12,0,-0.05
8.1,-0.05,-1.590884556526769e-12,0,-0.12,0,-0.05
8.199999999999999,-0.05,-1.590996391206689e-12,0,-0.12,0,-0.05
8.300000000000001,-0.05,-1.591098901533304e-12,0,-0.12,0,-0.05
8.4,-0.05,-1.591192864937577e-12,0,-0.12,0,-0.05
8.5,-0.05,-1.59127899403425e-12,0,-0.12,0,-0.05
8.6,-0.05,-1.591357942015558e-12,0,-0.12,0,-0.05
8.699999999999999,-0.05,-1.591430307617564e-12,0,-0.12,0,-0.05
8.800000000000001,-0.05,-1.591496639652693e-12,0,-0.12,0,-0.05
8.9,-0.05,-1.591557441177474e-12,0,-0.12,0,-0.05
9,-0.05,-1.59161317330409e-12,0,-0.12,0,-0.05
9.1,-0.05,-1.591664258699548e-12,0,-0.12,0,-0.05
9.199999999999999,-0.05,-1.591711084791034e-12,0,-0.12,0,-0.05
9.300000000000001,-0.05,-1.591754006701912e-12,0,-0.12,0,-0.05
9.4,-0.05,-1.591793349949044e-12,0,-0.12,0,-0.05
9.5,-0.05,-1.591829412906509e-12,0,-0.12,0,-0.05
9.6,-0.05,-1.591862469073361e-12,0,-0.12,0,-0.05
9.699999999999999,-0.05,-1.591892769143348e-12,0,-0.12,0,-0.05
9.800000000000001,-0.05,-1.591920542910015e-12,0,-0.12,0,-0.05
9.9,-0.05,-1.591946001006268e-12,0,-0.12,0,-0.05
10,-0.05,-1.591969336504223e-12,0,-0.12,0,-0.05
10.1,-0.05,-1.591990726377779e-12,0,-0.12,0,-0.05
10.2,-0.05,-1.592010332845658e-12,0,-0.12,0,-0.05
10.3,-0.05,-1.592028304601559e-12,0,-0.12,0,-0.05
10.4,-0.05,-1.592044777941134e-12,0,-0.12,0,-0.05
10.5,-0.05,-1.592059877797048e-12,0,-0.12,0,-0.05
10.6,-0.05,-1.592073718684649e-12,0,-0.12,0,-0.05
10.7,-0.05,-1.592086405572307e-12,0,-0.12,0,-0.05
10.8,-0.05,-1.592098034675754e-12,0,-0.12,0,-0.05
10.9,-0.05,-1.592108694189277e-12,0,-0.12,0,-0.05
11,-0.05,-1.592118464953338e-12,0,-0.12,0,-0.05
11.1,-0.05,-1.592127421068619e-12,0,-0.12,0,-0.05
11.2,-0.05,-1.592135630457321e-12,0,-0.12,0,-0.05
11.3,-0.05,-1.592143155378663e-12,0,-0.12,0,-0.05
11.4,-0.05,-1.592150052900963e-12,0,-0.12,0,-0.05
11.5,-0.05,-1.592156375334221e-12,0,-0.12,0,-0.05
11.6,-0.05,-1.592162170627319e-12,0,-0.12,0,-0.05
11.7,-0.05,-1.592167482731014e-12,0,-0.12,0,-0.05
11.8,-0.05,-1.592172351931946e-12,0,-0.12,0,-0.05
11.9,-0.05,-1.592176815157511e-12,0,-0.12,0,-0.05
12,-0.05,-1.592180906256494e-12,0,-0.12,0,-0.05
12.1,-0.05,-1.592184656255291e-12,0,-0.12,0,-0.05
12.2,-0.05,-1.592188093593594e-12,0,-0.12,0,-0.05
12.3,-0.05,-1.592191244339257e-12,0,-0.12,0,-0.05
12.4,-0.05,-1.592194132384227e-12,0,-0.12,0,-0.05
12.5,-0.05,-1.592196779634171e-12,0,-0.12,0,-0.05
12.6,-0.05,-1.592199206164365e-12,0,-0.12,0,-0.05
12.7,-0.05,-1.592201430379111e-12,0,-0.12,0,-0.05
12.8,-0.05,-1.592203469148715e-12,0,-0.12,0,-0.05
12.9,-0.05,-1.592205337933923e-12,0,-0.12,0,-0.05
13,-0.05,-1.592207050907614e-12,0,-0.12,0,-0.05
13.1,-0.05,-1.592208621060377e-12,0,-0.12,0,-0.05
13.2,-0.05,-1.592210060300143e-12,0,-0.12,0,-0.05
13.3,-0.05,-1.59221137954183e-12,0,-0.12,0,-0.05
13.4,-0.05,-1.592212588790473e-12,0,-0.12,0,-0.05
13.5,-0.05,-1.592213697217195e-12,0,-0.12,0,-0.05
13.6,-0.05,-1.592214713227968e-12,0,-0.12,0,-0.05
13.7,-0.05,-1.592215644527975e-12,0,-0.12,0,-0.05
13.8,-0.05,-1.592216498180009e-12,0,-0.12,0,-0.05
13.9,-0.05,-1.592217280658038e-12,0,-0.12,0,-0.05
14,-0.05,-1.592217997896199e-12,0,-0.12,0,-0.05
14.1,-0.05,-1.592218655333894e-12,0,-0.12,0,-0.05
14.2,-0.05,-1.592219257957249e-12,0,-0.12,0,-0.05
14.3,-0.05,-1.592219810336402e-12,0,-0.12,0,-0.05
14.4,-0.05,-1.592220316660478e-12,0,-0.12,0,-0.05
14.5,-0.05,-1.592220780769342e-12,0,-0.12,0,-0.05
14.6,-0.05,-1.592221206182718e-12,0,-0.12,0,-0.05
14.7,-0.05,-1.592221596126846e-12,0,-0.12,0,-0.05
14.8,-0.05,-1.592221953558966e-12,0,-0.12,0,-0.05
14.9,-0.05,-1.592222281189924e-12,0,-0.12,0,-0.05
15,-0.05,-1.592222581504394e-12,0,-0.12,0,-0.05
15.1,-0.05,-1.592222856779892e-12,0,-0.12,0,-0.05
15.2,-0.05,-1.592223109104057e-12,0,-0.12,0,-0.05
15.3,-0.05,-1.592223340390473e-12,0,-0.12,0,-0.05
