"time","l2.v","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
0,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.001051776880706299,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.001051776880706299,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.01,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.01746030704023963,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.01746030704023963,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.02,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.03,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.04,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.05,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.06,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.07000000000000001,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.08,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.09,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.1,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.11,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.12,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.13,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.14,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.15,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.16,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.17,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.18,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.19,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.2,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.21,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.22,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.23,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.24,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.25,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.26,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.27,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.28,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.29,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.3,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.3000000001300003,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.3000000001300003,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.31,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.32,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.33,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.34,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.35,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.36,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.37,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.38,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.39,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.4,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.41,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.42,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.43,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.44,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.45,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.46,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.47,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.48,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.49,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.5,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.51,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
0.52,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
