"time","l2.v","act_steady","act_steady_n","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
0,-0.08,8.995658813354483e-06,4.286653125796481e-06,0.001118317563533431,0.9996911694313801,0.01002784403545225,0.06001000625549018,-0.08,-0.08
1,-0.07900000000000017,1.046489757066964e-05,5.235724982018311e-06,0.001131630749009355,0.999638154119322,0.01004261067692866,0.06001773443679648,-0.07900000000000017,-0.07900000000000017
2,-0.07800000000000018,1.217410054747962e-05,6.394921520986956e-06,0.001145264703784251,0.9995760418083161,0.01006450992784408,0.06003097925112173,-0.07800000000000018,-0.07800000000000018
3,-0.07700000000000018,1.416245899828492e-05,7.810763725055997e-06,0.001159231154983995,0.9995032729654878,0.01009661766679869,0.06005333743545153,-0.07700000000000018,-0.07700000000000018
4,-0.07600000000000018,1.647556457725709e-05,9.540071859239533e-06,0.001173542406310607,0.9994180212374875,0.01014315561992586,0.06009051093398015,-0.07600000000000018,-0.07600000000000018
5,-0.07500000000000018,1.916645447104133e-05,1.165224547006922e-05,0.001188211373204468,0.9993181479999722,0.01020983702741667,0.0601513831937716,-0.07500000000000018,-0.07500000000000018
6,-0.07400000000000016,2.229682714764742e-05,1.423204803950529e-05,0.001203251620342159,0.9992011492394892,0.01030428301837554,0.06024955253242482,-0.07400000000000016,-0.07400000000000016
7,-0.07300000000000016,2.593845655811589e-05,1.738300795560635e-05,0.001218677401540947,0.9990640935020377,0.01043651098047249,0.06040546558695576,-0.07300000000000016,-0.07300000000000016
8,-0.07200000000000016,3.017483716362718e-05,2.123157214929456e-05,0.001234503702088564,0.9989035494441131,0.0106194902807787,0.06064931243493321,-0.07200000000000016,-0.07200000000000016
9,-0.07100000000000015,3.510309743382475e-05,2.593217888308927e-05,0.001250746283432164,0.9987155012964097,0.01086975250498354,0.06102485197135676,-0.07100000000000015,-0.07100000000000015
10,-0.07000000000000015,4.083622559143365e-05,3.167345296117381e-05,0.001267421730027519,0.998495250295473,0.01120803285592022,0.06159432282070522,-0.07000000000000015,-0.07000000000000015
