"time","vc.i"
0,-1.325598237865678e-11
0.0001,-1.308782071074294e-11
0.0002,-1.290524429179284e-11
0.0003,-1.271005526189431e-11
0.0004,-1.250391478558986e-11
0.0005,-1.228835249155012e-11
0.0005999999999999999,-1.206477532723193e-11
0.0007,-1.183447586421337e-11
0.0008,-1.159864008615315e-11
0.0009,-1.135835469025053e-11
0.001,-1.11146139310134e-11
0.0011,-1.086832603361014e-11
0.0012,-1.062031920246084e-11
0.0013,-1.037134724920146e-11
0.0014,-1.012209486287065e-11
0.0015,-9.873182543775249e-12
0.0016,-9.625171221226512e-12
0.0017,-9.378566574272609e-12
0.0018,-9.133823073352202e-12
0.0019,-8.891347759748001e-12
0.002,-8.651503778836252e-12
0.0021,-8.414613682089242e-12
0.0022,-8.180962511934763e-12
0.0023,-7.950800682827567e-12
0.0024,-7.724346671011207e-12
0.0025,-7.501789524738732e-12
0.0026,-7.283291206092275e-12
0.0027,-7.068988774801131e-12
0.0028,-6.858996423868224e-12
0.0029,-6.653407376286943e-12
0.003,-6.452295651505683e-12
0.0031,-6.255717709809007e-12
0.0032,-6.06371398233967e-12
0.0033,-5.876310293959938e-12
0.0034,-5.693519185747149e-12
0.0035,-5.515341143542916e-12
0.0036,-5.34176573853361e-12
0.0037,-5.172772685507867e-12
0.0038,-5.008332824118048e-12
0.0039,-4.848409028103052e-12
0.004,-4.692957047157379e-12
0.0041,-4.541926285859949e-12
0.0042,-4.395260523767858e-12
0.0043,-4.252898580557625e-12
0.0044,-4.114774929864199e-12
0.0045,-3.980820265211883e-12
0.0046,-3.850962021250303e-12
0.0047,-3.725124853308607e-12
0.0048,-3.603231078069449e-12
0.0049,-3.485201078017918e-12
0.005,-3.370953672147365e-12
0.0051,-3.260406455230371e-12
0.0052,-3.15347610784538e-12
0.0053,-3.050078679198562e-12
0.0054,-2.95012984463894e-12
0.0055,-2.853545139670822e-12
0.0056,-2.760240172135193e-12
0.0057,-2.670130814117364e-12
0.0058,-2.58313337506393e-12
0.0059,-2.499164757475022e-12
0.006,-2.418142596446615e-12
0.0061,-2.33998538427967e-12
0.0062,-2.264612581268027e-12
0.0063,-2.191944713707512e-12
0.0064,-2.121903460119632e-12
0.0065,-2.054411726593997e-12
0.0066,-1.989393712098819e-12
0.0067,-1.926774964567497e-12
0.0068,-1.866482428494675e-12
0.0069,-1.808444484731139e-12
0.007,-1.752590983132542e-12
0.0071,-1.698853268654532e-12
0.0072,-1.647164201451861e-12
0.0073,-1.597458171510137e-12
0.0074,-1.549671108287041e-12
0.0075,-1.503740485812117e-12
0.0076,-1.459605323669841e-12
0.0077,-1.417206184247728e-12
0.0078,-1.376485166609607e-12
0.007900000000000001,-1.337385897333329e-12
0.008,-1.299853518616839e-12
0.0081,-1.263834673939893e-12
0.008200000000000001,-1.229277491550652e-12
0.0083,-1.196131566017535e-12
0.008399999999999999,-1.16434793807411e-12
0.008500000000000001,-1.133879072969031e-12
0.0086,-1.10467883750964e-12
0.008699999999999999,-1.076702475978585e-12
0.008800000000000001,-1.049906585088811e-12
0.0089,-1.024249088123542e-12
0.008999999999999999,-9.996892084176394e-13
0.0091,-9.761874422894505e-13
0.0092,-9.537055314079879e-13
0.009299999999999999,-9.322064350387755e-13
0.0094,-9.116543020007812e-13
0.0095,-8.920144424087643e-13
0.009599999999999999,-8.732532994003054e-13
0.0097,-8.553384208674022e-13
0.0098,-8.382384312537484e-13
0.009900000000000001,-8.219230034973847e-13
0.01,-8.063628311648743e-13
0.0101,-7.915296008108387e-13
0.0102,-7.77395964621036e-13
0.0103,-7.639355133718386e-13
0.0104,-7.511227497414555e-13
0.0105,-7.389330619958543e-13
0.0106,-7.273426980862509e-13
0.0107,-7.163287401770605e-13
0.0108,-7.05869079615587e-13
0.0109,-6.959423923690014e-13
0.011,-6.865281149396809e-13
0.0111,-6.776064207715191e-13
0.0112,-6.691581971505885e-13
0.0113,-6.611650226172949e-13
0.0114,-6.536091448899279e-13
0.0115,-6.4647345929929e-13
0.0116,-6.397414877421879e-13
0.0117,-6.333973581524897e-13
0.0118,-6.274257844900396e-13
0.0119,-6.218120472408324e-13
0.012,-6.165419744343024e-13
0.0121,-6.116019231680186e-13
0.0122,-6.069787616338865e-13
0.0123,-6.026598516440219e-13
0.0124,-5.98633031648976e-13
0.0125,-5.948866002424372e-13
