"time","l2.v","vc.i","vc.is_end","vc.is_peak","vc.is_tail","vc.v_pulse","vc.vs_end","vc.vs_peak","vc.vs_tail","vc.v"
0,-0.04,1.591615056624083e-11,0,0,0,-0.04,0,0,0,-0.04
0.00744700438789436,-0.04,4.674206198123377e-11,0,0,0,-0.04,0,0,0,-0.04
0.00744700438789436,-0.04,4.674206198123377e-11,0,0,0,-0.04,0,0,0,-0.04
0.01,-0.04,4.64773416438744e-11,0,0,0,-0.04,0,0,0,-0.04
0.02,-0.04,4.449904975842671e-11,0,0,0,-0.04,0,0,0,-0.04
0.03,-0.04,4.254685467027598e-11,0,0,0,-0.04,0,0,0,-0.04
0.04,-0.04,4.068896110456703e-11,0,0,0,-0.04,0,0,0,-0.04
0.05,-0.04,3.892088422122411e-11,0,0,0,-0.04,0,0,0,-0.04
0.06,-0.04,3.723820539284408e-11,0,0,0,-0.04,0,0,0,-0.04
0.07000000000000001,-0.04,3.563672415654444e-11,0,0,0,-0.04,0,0,0,-0.04
0.08,-0.04,3.411244775786746e-11,0,0,0,-0.04,0,0,0,-0.04
0.09,-0.04,3.266158086480194e-11,0,0,0,-0.04,0,0,0,-0.04
0.1,-0.04,3.128051579060731e-11,0,0,0,-0.04,0,0,0,-0.04
0.11,-0.04,2.996582320138955e-11,0,0,0,-0.04,0,0,0,-0.04
0.12,-0.04,2.871424328337047e-11,0,0,0,-0.04,0,0,0,-0.04
0.13,-0.04,2.752267734853157e-11,0,0,0,-0.04,0,0,0,-0.04
0.14,-0.04,2.638817985625567e-11,0,0,0,-0.04,0,0,0,-0.04
0.15,-0.04,2.530795082910794e-11,0,0,0,-0.04,0,0,0,-0.04
0.16,-0.04,2.427932864556696e-11,0,0,0,-0.04,0,0,0,-0.04
0.17,-0.04,2.32997831893516e-11,0,0,0,-0.04,0,0,0,-0.04
0.18,-0.04,2.23669093381657e-11,0,0,0,-0.04,0,0,0,-0.04
0.19,-0.04,2.147842077508134e-11,0,0,0,-0.04,0,0,0,-0.04
0.2,-0.04,2.06321441064974e-11,0,0,0,-0.04,0,0,0,-0.04
0.21,-0.04,1.982601327152992e-11,0,0,0,-0.04,0,0,0,-0.04
0.22,-0.04,1.905806422834935e-11,0,0,0,-0.04,0,0,0,-0.04
0.23,-0.04,1.83264299037843e-11,0,0,0,-0.04,0,0,0,-0.04
0.24,-0.04,1.762933539310587e-11,0,0,0,-0.04,0,0,0,-0.04
0.25,-0.04,1.696509339763451e-11,0,0,0,-0.04,0,0,0,-0.04
0.26,-0.04,1.633209988834837e-11,0,0,0,-0.04,0,0,0,-0.04
0.27,-0.04,1.572882998432933e-11,0,0,0,-0.04,0,0,0,-0.04
0.28,-0.04,1.515383403536847e-11,0,0,0,-0.04,0,0,0,-0.04
0.29,-0.04,1.460573389864607e-11,0,0,0,-0.04,0,0,0,-0.04
0.3,-0.04,1.408321939983981e-11,0,0,0,-0.04,0,0,0,-0.04
0.31,-0.04,1.358504496955123e-11,0,0,0,-0.04,0,0,0,-0.04
0.32,-0.04,1.311002644633646e-11,0,0,0,-0.04,0,0,0,-0.04
0.33,-0.04,1.265703803811142e-11,0,0,0,-0.04,0,0,0,-0.04
0.34,-0.04,1.222500943406028e-11,0,0,0,-0.04,0,0,0,-0.04
0.35,-0.04,1.18129230596122e-11,0,0,0,-0.04,0,0,0,-0.04
