"time","vc.v_stim","p.i","vc.v"
0,-0.06,2.946004644613079e-11,-0.06
1,-0.059,2.975389697970229e-11,-0.059
2,-0.058,3.004619452556082e-11,-0.058
3,-0.057,3.033686076394633e-11,-0.057
4,-0.056,3.062581926036285e-11,-0.056
5,-0.055,3.091299553650181e-11,-0.055
6,-0.05400000000000001,3.119831713656474e-11,-0.05400000000000001
7,-0.05300000000000001,3.148171368889307e-11,-0.05300000000000001
8,-0.052,3.176311696283006e-11,-0.052
9,-0.051,3.204246092075851e-11,-0.051
10,-0.05,3.231968176527486e-11,-0.05
11,-0.049,3.259471798147785e-11,-0.049
12,-0.048,3.286751037436699e-11,-0.048
13,-0.047,3.313800210136264e-11,-0.047
14,-0.046,3.340613869997532e-11,-0.046
15,-0.045,3.367186811066763e-11,-0.045
16,-0.044,3.393514069496713e-11,-0.044
17,-0.043,3.419590924890179e-11,-0.043
18,-0.042,3.445412901184435e-11,-0.042
19,-0.04099999999999999,3.470975767086331e-11,-0.04099999999999999
20,-0.03999999999999999,3.49627553606906e-11,-0.03999999999999999
21,-0.039,3.521308465942682e-11,-0.039
22,-0.038,3.546071058011491e-11,-0.038
23,-0.037,3.570560055832191e-11,-0.037
24,-0.036,3.594772443587729e-11,-0.036
25,-0.035,3.618705444092278e-11,-0.035
26,-0.034,3.642356516443576e-11,-0.034
27,-0.03299999999999999,3.665723353339302e-11,-0.03299999999999999
28,-0.032,3.688803878074696e-11,-0.032
29,-0.031,3.711596241238887e-11,-0.031
30,-0.03,3.734098817127818e-11,-0.03
31,-0.029,3.75631019989173e-11,-0.029
32,-0.028,3.778229199435323e-11,-0.028
33,-0.027,3.799854837088792e-11,-0.027
34,-0.026,3.821186341067851e-11,-0.026
35,-0.02499999999999999,3.84222314174076e-11,-0.02499999999999999
36,-0.02399999999999999,3.862964866720239e-11,-0.02399999999999999
37,-0.02299999999999999,3.883411335797894e-11,-0.02299999999999999
38,-0.02199999999999998,3.903562555738483e-11,-0.02199999999999998
39,-0.02099999999999999,3.923418714951048e-11,-0.02099999999999999
40,-0.01999999999999999,3.942980178053527e-11,-0.01999999999999999
41,-0.01899999999999999,3.96224748034703e-11,-0.01899999999999999
42,-0.01799999999999999,3.981221322215509e-11,-0.01799999999999999
43,-0.01699999999999999,3.999902563466033e-11,-0.01699999999999999
44,-0.01599999999999999,4.018292217624347e-11,-0.01599999999999999
45,-0.01499999999999999,4.036391446199851e-11,-0.01499999999999999
46,-0.01399999999999999,4.054201552933523e-11,-0.01399999999999999
47,-0.01299999999999999,4.071723978041736e-11,-0.01299999999999999
48,-0.01199999999999999,4.088960292468283e-11,-0.01199999999999999
49,-0.01099999999999999,4.105912192156332e-11,-0.01099999999999999
50,-0.009999999999999992,4.122581492351332e-11,-0.009999999999999992
51,-0.008999999999999991,4.138970121945353e-11,-0.008999999999999991
52,-0.007999999999999986,4.1550801178726e-11,-0.007999999999999986
53,-0.006999999999999989,4.17091361956529e-11,-0.006999999999999989
54,-0.00599999999999999,4.186472863478403e-11,-0.00599999999999999
55,-0.004999999999999989,4.201760177691185e-11,-0.004999999999999989
56,-0.003999999999999988,4.216777976592732e-11,-0.003999999999999988
57,-0.002999999999999987,4.231528755658277e-11,-0.002999999999999987
58,-0.001999999999999988,4.246015086322308e-11,-0.001999999999999988
59,-0.0009999999999999887,4.260239610954003e-11,-0.0009999999999999887
60,1.214306433183765e-17,4.274205037939952e-11,1.214306433183765e-17
61,0.001000000000000011,4.287914136878543e-11,0.001000000000000011
62,0.002000000000000012,4.301369733889922e-11,0.002000000000000012
63,0.003000000000000012,4.314574707044889e-11,0.003000000000000012
64,0.004000000000000011,4.327531981915616e-11,0.004000000000000011
65,0.005000000000000012,4.340244527250627e-11,0.005000000000000012
66,0.006000000000000012,4.352715350776007e-11,0.006000000000000012
67,0.007000000000000011,4.364947495124409e-11,0.007000000000000011
68,0.008000000000000012,4.376944033893019e-11,0.008000000000000012
69,0.009000000000000011,4.388708067831242e-11,0.009000000000000011
70,0.01000000000000001,4.400242721158569e-11,0.01000000000000001
71,0.01100000000000001,4.411551138012664e-11,0.01100000000000001
72,0.01200000000000001,4.422636479027481e-11,0.01200000000000001
73,0.01300000000000001,4.433501918040867e-11,0.01300000000000001
74,0.014,4.444150638930872e-11,0.014
75,0.01500000000000001,4.454585832579699e-11,0.01500000000000001
76,0.016,4.464810693964027e-11,0.016
77,0.01700000000000001,4.474828419370208e-11,0.01700000000000001
78,0.018,4.484642203732627e-11,0.018
79,0.01900000000000001,4.494255238093388e-11,0.01900000000000001
80,0.02,4.503670707181257e-11,0.02
81,0.021,4.512891787107704e-11,0.021
82,0.02200000000000001,4.521921643177736e-11,0.02200000000000001
83,0.02300000000000001,4.5307634278131e-11,0.02300000000000001
84,0.024,4.539420278585322e-11,0.024
85,0.02500000000000001,4.547895316355991e-11,0.02500000000000001
86,0.02600000000000001,4.556191643521623e-11,0.02600000000000001
87,0.027,4.564312342360308e-11,0.027
88,0.02800000000000001,4.572260473477425e-11,0.02800000000000001
89,0.029,4.580039074347536e-11,0.029
90,0.03000000000000001,4.587651157949644e-11,0.03000000000000001
91,0.03100000000000001,4.5950997114929e-11,0.03100000000000001
92,0.03200000000000001,4.602387695229923e-11,0.03200000000000001
93,0.033,4.609518041354794e-11,0.033
94,0.03400000000000001,4.616493652982877e-11,0.03400000000000001
95,0.035,4.62331740320959e-11,0.035
96,0.036,4.629992134245258e-11,0.036
97,0.03700000000000001,4.636520656623258e-11,0.03700000000000001
98,0.03800000000000001,4.642905748478621e-11,0.03800000000000001
99,0.039,4.649150154894366e-11,0.039
