"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
0,-0.08,-1.87214792072021e-12,0,-0.08,0,-0.08
0.01,-0.08,-9.973928830055394e-14,0,-0.08,0,-0.08
0.02,-0.08,-2.884188406269853e-14,0,-0.08,0,-0.08
0.02332816044751883,-0.08,-2.793135863202907e-14,0,-0.08,0,-0.08
0.02332816044751883,-0.08,-2.793135863202907e-14,0,-0.08,0,-0.08
0.03,-0.08,-2.929755862058967e-14,0,-0.08,0,-0.08
0.04,-0.08,-3.26438897556262e-14,0,-0.08,0,-0.08
0.05,-0.08,-3.608483151036612e-14,0,-0.08,0,-0.08
0.06,-0.08,-3.950643327185495e-14,0,-0.08,0,-0.08
0.07000000000000001,-0.08,-4.290646768245367e-14,0,-0.08,0,-0.08
0.08,-0.08,-4.628440735863966e-14,0,-0.08,0,-0.08
0.09,-0.08,-4.964034657171096e-14,0,-0.08,0,-0.08
0.1,-0.08,-5.297426396718042e-14,0,-0.08,0,-0.08
0.11,-0.08,-5.62864333056246e-14,0,-0.08,0,-0.08
0.12,-0.08,-5.957702516488575e-14,0,-0.08,0,-0.08
0.13,-0.08,-6.284610045250238e-14,0,-0.08,0,-0.08
0.14,-0.08,-6.609380777097867e-14,0,-0.08,0,-0.08
0.15,-0.08,-6.932030567944293e-14,0,-0.08,0,-0.08
0.16,-0.08,-7.252576151589829e-14,0,-0.08,0,-0.08
0.17,-0.08,-7.57103170048092e-14,0,-0.08,0,-0.08
0.18,-0.08,-7.887406792831311e-14,0,-0.08,0,-0.08
0.19,-0.08,-8.201716316572982e-14,0,-0.08,0,-0.08
0.2,-0.08,-8.513973587053205e-14,0,-0.08,0,-0.08
0.21,-0.08,-8.824191877497365e-14,0,-0.08,0,-0.08
0.22,-0.08,-9.132384556913595e-14,0,-0.08,0,-0.08
0.23,-0.08,-9.438565404146894e-14,0,-0.08,0,-0.08
0.24,-0.08,-9.742747547798535e-14,0,-0.08,0,-0.08
0.25,-0.08,-1.004494435213715e-13,0,-0.08,0,-0.08
0.26,-0.08,-1.034516917694827e-13,0,-0.08,0,-0.08
0.27,-0.08,-1.064343392167914e-13,0,-0.08,0,-0.08
0.28,-0.08,-1.093975003225773e-13,0,-0.08,0,-0.08
0.29,-0.08,-1.123413185339841e-13,0,-0.08,0,-0.08
0.3,-0.08,-1.152659235087613e-13,0,-0.08,0,-0.08
0.31,-0.08,-1.18171444864913e-13,0,-0.08,0,-0.08
0.32,-0.08,-1.21057991841474e-13,0,-0.08,0,-0.08
0.33,-0.08,-1.239256855691089e-13,0,-0.08,0,-0.08
0.34,-0.08,-1.267746617955173e-13,0,-0.08,0,-0.08
0.35,-0.08,-1.296050467014164e-13,0,-0.08,0,-0.08
0.36,-0.08,-1.324169664811505e-13,0,-0.08,0,-0.08
0.37,-0.08,-1.35210515740813e-13,0,-0.08,0,-0.08
0.38,-0.08,-1.379858227238237e-13,0,-0.08,0,-0.08
0.39,-0.08,-1.407430158953553e-13,0,-0.08,0,-0.08
0.4,-0.08,-1.434822173264389e-13,0,-0.08,0,-0.08
0.41,-0.08,-1.462035490916514e-13,0,-0.08,0,-0.08
0.42,-0.08,-1.489071048994847e-13,0,-0.08,0,-0.08
0.43,-0.08,-1.515930128009004e-13,0,-0.08,0,-0.08
0.44,-0.08,-1.542613891693585e-13,0,-0.08,0,-0.08
0.45,-0.08,-1.569123488145528e-13,0,-0.08,0,-0.08
0.46,-0.08,-1.595460057941354e-13,0,-0.08,0,-0.08
0.47,-0.08,-1.621624734128794e-13,0,-0.08,0,-0.08
0.48,-0.08,-1.647618642218606e-13,0,-0.08,0,-0.08
0.49,-0.08,-1.673442900176524e-13,0,-0.08,0,-0.08
0.5,-0.08,-1.699098618415403e-13,0,-0.08,0,-0.08
0.5000000001500033,-0.08,-1.699098618798988e-13,0,-0.08,0,-0.08
0.5000000001500033,-0.08,-1.699098618798988e-13,0,-0.08,0,-0.08
0.51,-0.08,-1.724586826092397e-13,0,-0.08,0,-0.08
0.52,-0.08,-1.749908958308408e-13,0,-0.08,0,-0.08
0.53,-0.08,-1.775066182226863e-13,0,-0.08,0,-0.08
0.54,-0.08,-1.80005940488817e-13,0,-0.08,0,-0.08
0.55,-0.08,-1.824889158206076e-13,0,-0.08,0,-0.08
0.5600000000000001,-0.08,-1.849557377941047e-13,0,-0.08,0,-0.08
0.57,-0.08,-1.874064168426643e-13,0,-0.08,0,-0.08
0.58,-0.08,-1.898411137288929e-13,0,-0.08,0,-0.08
0.59,-0.08,-1.922598830756468e-13,0,-0.08,0,-0.08
0.6,-0.08,-1.94662858896694e-13,0,-0.08,0,-0.08
0.61,-0.08,-1.970501177471889e-13,0,-0.08,0,-0.08
0.62,-0.08,-1.994217660347694e-13,0,-0.08,0,-0.08
0.63,-0.08,-2.017779234180045e-13,0,-0.08,0,-0.08
0.64,-0.08,-2.041186833105846e-13,0,-0.08,0,-0.08
0.65,-0.08,-2.06444149673443e-13,0,-0.08,0,-0.08
0.66,-0.08,-2.087544354019241e-13,0,-0.08,0,-0.08
0.67,-0.08,-2.11049641677611e-13,0,-0.08,0,-0.08
0.68,-0.08,-2.133298736158472e-13,0,-0.08,0,-0.08
0.6899999999999999,-0.08,-2.155952058180598e-13,0,-0.08,0,-0.08
0.7,-0.08,-2.178457375252585e-13,0,-0.08,0,-0.08
0.71,-0.08,-2.200815714843792e-13,0,-0.08,0,-0.08
0.72,-0.08,-2.223028052157086e-13,0,-0.08,0,-0.08
0.73,-0.08,-2.245095362394838e-13,0,-0.08,0,-0.08
0.74,-0.08,-2.267018620758929e-13,0,-0.08,0,-0.08
0.75,-0.08,-2.28879877571459e-13,0,-0.08,0,-0.08
0.76,-0.08,-2.310436652465034e-13,0,-0.08,0,-0.08
0.77,-0.08,-2.33193331180067e-13,0,-0.08,0,-0.08
0.78,-0.08,-2.353289715298077e-13,0,-0.08,0,-0.08
0.79,-0.08,-2.37450682453395e-13,0,-0.08,0,-0.08
0.8,-0.08,-2.395585601085096e-13,0,-0.08,0,-0.08
0.8100000000000001,-0.08,-2.416526825523892e-13,0,-0.08,0,-0.08
0.82,-0.08,-2.437331002049505e-13,0,-0.08,0,-0.08
0.83,-0.08,-2.457999382467684e-13,0,-0.08,0,-0.08
0.84,-0.08,-2.478532881428304e-13,0,-0.08,0,-0.08
