"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
0,-0.08,-3.883958021003989e-13,0,-0.08,0,-0.08
0.01,-0.08,-3.015156136738619e-14,0,-0.08,0,-0.08
0.01969049607740097,-0.08,-1.732546078535349e-14,0,-0.08,0,-0.08
0.01969049607740097,-0.08,-1.732546078535349e-14,0,-0.08,0,-0.08
0.02,-0.08,-1.732880987768074e-14,0,-0.08,0,-0.08
0.03,-0.08,-1.898046848312916e-14,0,-0.08,0,-0.08
0.04,-0.08,-2.120915749357887e-14,0,-0.08,0,-0.08
0.05,-0.08,-2.344658129843669e-14,0,-0.08,0,-0.08
0.06,-0.08,-2.567044705552581e-14,0,-0.08,0,-0.08
0.07000000000000001,-0.08,-2.787975660386927e-14,0,-0.08,0,-0.08
0.08,-0.08,-3.007459923821566e-14,0,-0.08,0,-0.08
0.09,-0.08,-3.225513148668035e-14,0,-0.08,0,-0.08
0.1,-0.08,-3.442144494155379e-14,0,-0.08,0,-0.08
0.11,-0.08,-3.65736318862019e-14,0,-0.08,0,-0.08
0.12,-0.08,-3.871177243904031e-14,0,-0.08,0,-0.08
0.13,-0.08,-4.08359566094722e-14,0,-0.08,0,-0.08
0.14,-0.08,-4.294627072263312e-14,0,-0.08,0,-0.08
0.15,-0.08,-4.504279879787284e-14,0,-0.08,0,-0.08
0.16,-0.08,-4.712563113282215e-14,0,-0.08,0,-0.08
0.17,-0.08,-4.919487191363541e-14,0,-0.08,0,-0.08
0.18,-0.08,-5.125060377498675e-14,0,-0.08,0,-0.08
0.19,-0.08,-5.329291712613854e-14,0,-0.08,0,-0.08
0.2,-0.08,-5.532189487461044e-14,0,-0.08,0,-0.08
0.21,-0.08,-5.733762768414884e-14,0,-0.08,0,-0.08
0.22,-0.08,-5.934020556632088e-14,0,-0.08,0,-0.08
0.23,-0.08,-6.132971277710451e-14,0,-0.08,0,-0.08
0.24,-0.08,-6.330622740690728e-14,0,-0.08,0,-0.08
0.25,-0.08,-6.52698409936054e-14,0,-0.08,0,-0.08
0.26,-0.08,-6.722063986371691e-14,0,-0.08,0,-0.08
0.27,-0.08,-6.91586995613926e-14,0,-0.08,0,-0.08
0.28,-0.08,-7.108410716915638e-14,0,-0.08,0,-0.08
0.29,-0.08,-7.29969476877424e-14,0,-0.08,0,-0.08
0.3,-0.08,-7.489730265992757e-14,0,-0.08,0,-0.08
0.31,-0.08,-7.678525026293777e-14,0,-0.08,0,-0.08
0.32,-0.08,-7.866087385636387e-14,0,-0.08,0,-0.08
0.33,-0.08,-8.052425418829574e-14,0,-0.08,0,-0.08
0.34,-0.08,-8.237547153648927e-14,0,-0.08,0,-0.08
0.35,-0.08,-8.421460571214847e-14,0,-0.08,0,-0.08
0.36,-0.08,-8.604173606363262e-14,0,-0.08,0,-0.08
0.37,-0.08,-8.785693956095084e-14,0,-0.08,0,-0.08
0.38,-0.08,-8.966029221194556e-14,0,-0.08,0,-0.08
0.39,-0.08,-9.145187280410432e-14,0,-0.08,0,-0.08
0.4,-0.08,-9.323175790793247e-14,0,-0.08,0,-0.08
0.41,-0.08,-9.500002352937255e-14,0,-0.08,0,-0.08
0.42,-0.08,-9.675674510970124e-14,0,-0.08,0,-0.08
0.43,-0.08,-9.850199752542806e-14,0,-0.08,0,-0.08
0.44,-0.08,-1.00235857406086e-13,0,-0.08,0,-0.08
0.45,-0.08,-1.019584005091427e-13,0,-0.08,0,-0.08
0.46,-0.08,-1.036696988482244e-13,0,-0.08,0,-0.08
0.47,-0.08,-1.053698257249849e-13,0,-0.08,0,-0.08
0.48,-0.08,-1.070588539367631e-13,0,-0.08,0,-0.08
0.49,-0.08,-1.087368557767238e-13,0,-0.08,0,-0.08
0.5,-0.08,-1.104039030339946e-13,0,-0.08,0,-0.08
0.5000000001500101,-0.08,-1.104039030589202e-13,0,-0.08,0,-0.08
0.5000000001500101,-0.08,-1.104039030589202e-13,0,-0.08,0,-0.08
0.51,-0.08,-1.12060069538593e-13,0,-0.08,0,-0.08
0.52,-0.08,-1.137054432076847e-13,0,-0.08,0,-0.08
0.53,-0.08,-1.153401013961402e-13,0,-0.08,0,-0.08
0.54,-0.08,-1.169641031132633e-13,0,-0.08,0,-0.08
0.55,-0.08,-1.185774829901665e-13,0,-0.08,0,-0.08
0.5600000000000001,-0.08,-1.201803668306145e-13,0,-0.08,0,-0.08
0.57,-0.08,-1.217727613917864e-13,0,-0.08,0,-0.08
0.58,-0.08,-1.23354771117733e-13,0,-0.08,0,-0.08
0.59,-0.08,-1.249264315007168e-13,0,-0.08,0,-0.08
0.6,-0.08,-1.264878296158405e-13,0,-0.08,0,-0.08
0.61,-0.08,-1.280390152030121e-13,0,-0.08,0,-0.08
0.62,-0.08,-1.295800574044759e-13,0,-0.08,0,-0.08
0.63,-0.08,-1.311110339802791e-13,0,-0.08,0,-0.08
0.64,-0.08,-1.326320056234976e-13,0,-0.08,0,-0.08
0.65,-0.08,-1.341430398849855e-13,0,-0.08,0,-0.08
0.66,-0.08,-1.356442101159156e-13,0,-0.08,0,-0.08
0.67,-0.08,-1.371355820627178e-13,0,-0.08,0,-0.08
0.68,-0.08,-1.386172240256014e-13,0,-0.08,0,-0.08
0.6899999999999999,-0.08,-1.400891844871504e-13,0,-0.08,0,-0.08
0.7,-0.08,-1.415515279311388e-13,0,-0.08,0,-0.08
0.71,-0.08,-1.430043211201827e-13,0,-0.08,0,-0.08
0.72,-0.08,-1.444476274217865e-13,0,-0.08,0,-0.08
0.73,-0.08,-1.458815102034625e-13,0,-0.08,0,-0.08
0.74,-0.08,-1.473060328327312e-13,0,-0.08,0,-0.08
0.75,-0.08,-1.48721256937732e-13,0,-0.08,0,-0.08
0.76,-0.08,-1.501272361241356e-13,0,-0.08,0,-0.08
0.77,-0.08,-1.515240393291241e-13,0,-0.08,0,-0.08
0.78,-0.08,-1.529117290334353e-13,0,-0.08,0,-0.08
0.79,-0.08,-1.542903677178052e-13,0,-0.08,0,-0.08
0.8,-0.08,-1.556600178629681e-13,0,-0.08,0,-0.08
0.8100000000000001,-0.08,-1.57020730191278e-13,0,-0.08,0,-0.08
0.82,-0.08,-1.583725374634345e-13,0,-0.08,0,-0.08
0.83,-0.08,-1.597155210183345e-13,0,-0.08,0,-0.08
0.84,-0.08,-1.610497402877625e-13,0,-0.08,0,-0.08
0.85,-0.08,-1.623752547035029e-13,0,-0.08,0,-0.08
0.86,-0.08,-1.636921236973399e-13,0,-0.08,0,-0.08
0.87,-0.08,-1.650003948776341e-13,0,-0.08,0,-0.08
0.88,-0.08,-1.663001125609343e-13,0,-0.08,0,-0.08
0.89,-0.08,-1.67591346829099e-13,0,-0.08,0,-0.08
0.9,-0.08,-1.688741548804873e-13,0,-0.08,0,-0.08
0.91,-0.08,-1.701485939134587e-13,0,-0.08,0,-0.08
0.92,-0.08,-1.714147211263731e-13,0,-0.08,0,-0.08
0.93,-0.08,-1.726725782767468e-13,0,-0.08,0,-0.08
0.9399999999999999,-0.08,-1.739222135967711e-13,0,-0.08,0,-0.08
0.95,-0.08,-1.751636924477925e-13,0,-0.08,0,-0.08
0.96,-0.08,-1.763970698373774e-13,0,-0.08,0,-0.08
0.97,-0.08,-1.776224007730922e-13,0,-0.08,0,-0.08
0.98,-0.08,-1.788397402625033e-13,0,-0.08,0,-0.08
0.99,-0.08,-1.800491249009928e-13,0,-0.08,0,-0.08
1,-0.08,-1.812506071244136e-13,0,-0.08,0,-0.08
1.01,-0.08,-1.824442473282611e-13,0,-0.08,0,-0.08
1.02,-0.08,-1.836300984506475e-13,0,-0.08,0,-0.08
1.03,-0.08,-1.848082134296844e-13,0,-0.08,0,-0.08
1.04,-0.08,-1.859786452034835e-13,0,-0.08,0,-0.08
1.05,-0.08,-1.871414311247261e-13,0,-0.08,0,-0.08
1.06,-0.08,-1.882966242986583e-13,0,-0.08,0,-0.08
1.07,-0.08,-1.894442777721386e-13,0,-0.08,0,-0.08
1.08,-0.08,-1.905844410184576e-13,0,-0.08,0,-0.08
1.09,-0.08,-1.917171631986775e-13,0,-0.08,0,-0.08
1.1,-0.08,-1.928424931616322e-13,0,-0.08,0,-0.08
1.11,-0.08,-1.93960479443927e-13,0,-0.08,0,-0.08
1.12,-0.08,-1.95071170269939e-13,0,-0.08,0,-0.08
1.13,-0.08,-1.96174613551817e-13,0,-0.08,0,-0.08
1.14,-0.08,-1.972708568894814e-13,0,-0.08,0,-0.08
1.15,-0.08,-1.983599475706245e-13,0,-0.08,0,-0.08
1.16,-0.08,-1.994419324488151e-13,0,-0.08,0,-0.08
1.17,-0.08,-2.005168519714816e-13,0,-0.08,0,-0.08
1.18,-0.08,-2.015847564775027e-13,0,-0.08,0,-0.08
1.19,-0.08,-2.026456916162546e-13,0,-0.08,0,-0.08
1.2,-0.08,-2.03699702698483e-13,0,-0.08,0,-0.08
1.21,-0.08,-2.04746834696303e-13,0,-0.08,0,-0.08
1.22,-0.08,-2.057871322431998e-13,0,-0.08,0,-0.08
1.23,-0.08,-2.068206396340278e-13,0,-0.08,0,-0.08
1.24,-0.08,-2.07847400825011e-13,0,-0.08,0,-0.08
1.25,-0.08,-2.08867459433743e-13,0,-0.08,0,-0.08
1.26,-0.08,-2.098808587391868e-13,0,-0.08,0,-0.08
1.27,-0.08,-2.108876416816753e-13,0,-0.08,0,-0.08
1.28,-0.08,-2.118878526886159e-13,0,-0.08,0,-0.08
1.29,-0.08,-2.128815386900389e-13,0,-0.08,0,-0.08
1.3,-0.08,-2.138687376601107e-13,0,-0.08,0,-0.08
1.31,-0.08,-2.14849491533252e-13,0,-0.08,0,-0.08
1.32,-0.08,-2.158238419246944e-13,0,-0.08,0,-0.08
1.33,-0.08,-2.167918301304809e-13,0,-0.08,0,-0.08
1.34,-0.08,-2.177534971274651e-13,0,-0.08,0,-0.08
1.35,-0.08,-2.18708883573312e-13,0,-0.08,0,-0.08
1.36,-0.08,-2.196580298064979e-13,0,-0.08,0,-0.08
1.37,-0.08,-2.2060097584631e-13,0,-0.08,0,-0.08
1.38,-0.08,-2.215377613928467e-13,0,-0.08,0,-0.08
1.39,-0.08,-2.224684258270176e-13,0,-0.08,0,-0.08
1.4,-0.08,-2.233930174804483e-13,0,-0.08,0,-0.08
1.41,-0.08,-2.243115791110868e-13,0,-0.08,0,-0.08
1.42,-0.08,-2.252241422639453e-13,0,-0.08,0,-0.08
1.43,-0.08,-2.261307458576062e-13,0,-0.08,0,-0.08
1.44,-0.08,-2.270314285329208e-13,0,-0.08,0,-0.08
1.45,-0.08,-2.279262286530098e-13,0,-0.08,0,-0.08
1.46,-0.08,-2.288151843032639e-13,0,-0.08,0,-0.08
1.47,-0.08,-2.296983332913424e-13,0,-0.08,0,-0.08
1.48,-0.08,-2.305757131471746e-13,0,-0.08,0,-0.08
1.49,-0.08,-2.314473611229586e-13,0,-0.08,0,-0.08
1.5,-0.08,-2.323133141931621e-13,0,-0.08,0,-0.08
1.51,-0.08,-2.331736090545219e-13,0,-0.08,0,-0.08
1.52,-0.08,-2.340282943189517e-13,0,-0.08,0,-0.08
1.53,-0.08,-2.348774023733672e-13,0,-0.08,0,-0.08
1.54,-0.08,-2.357209663079405e-13,0,-0.08,0,-0.08
1.55,-0.08,-2.365590224160917e-13,0,-0.08,0,-0.08
1.56,-0.08,-2.373916067490927e-13,0,-0.08,0,-0.08
1.57,-0.08,-2.382187551160663e-13,0,-0.08,0,-0.08
1.58,-0.08,-2.390405030839864e-13,0,-0.08,0,-0.08
1.59,-0.08,-2.398568859776786e-13,0,-0.08,0,-0.08
1.6,-0.08,-2.406679388798193e-13,0,-0.08,0,-0.08
1.61,-0.08,-2.41473696630937e-13,0,-0.08,0,-0.08
1.62,-0.08,-2.422741938294111e-13,0,-0.08,0,-0.08
1.63,-0.08,-2.43069464831473e-13,0,-0.08,0,-0.08
1.64,-0.08,-2.438595486458519e-13,0,-0.08,0,-0.08
1.65,-0.08,-2.446444757774742e-13,0,-0.08,0,-0.08
1.66,-0.08,-2.454242800356744e-13,0,-0.08,0,-0.08
1.67,-0.08,-2.461989950176674e-13,0,-0.08,0,-0.08
1.68,-0.08,-2.469686540889285e-13,0,-0.08,0,-0.08
1.69,-0.08,-2.477332903831926e-13,0,-0.08,0,-0.08
1.7,-0.08,-2.484929368024542e-13,0,-0.08,0,-0.08
1.71,-0.08,-2.492476260169682e-13,0,-0.08,0,-0.08
1.72,-0.08,-2.499973904652483e-13,0,-0.08,0,-0.08
1.73,-0.08,-2.507422623540679e-13,0,-0.08,0,-0.08
1.74,-0.08,-2.514822736584596e-13,0,-0.08,0,-0.08
1.75,-0.08,-2.5221745602148e-13,0,-0.08,0,-0.08
1.76,-0.08,-2.529478406513391e-13,0,-0.08,0,-0.08
1.77,-0.08,-2.536734590826391e-13,0,-0.08,0,-0.08
1.78,-0.08,-2.543943423441882e-13,0,-0.08,0,-0.08
1.79,-0.08,-2.551105212320642e-13,0,-0.08,0,-0.08
1.8,-0.08,-2.558220263096153e-13,0,-0.08,0,-0.08
1.81,-0.08,-2.565288879074597e-13,0,-0.08,0,-0.08
1.82,-0.08,-2.57231136123486e-13,0,-0.08,0,-0.08
1.83,-0.08,-2.579288008228539e-13,0,-0.08,0,-0.08
1.84,-0.08,-2.58621911637994e-13,0,-0.08,0,-0.08
1.85,-0.08,-2.593104979686085e-13,0,-0.08,0,-0.08
1.86,-0.08,-2.599945889816706e-13,0,-0.08,0,-0.08
1.87,-0.08,-2.606742173907166e-13,0,-0.08,0,-0.08
1.88,-0.08,-2.613494140242207e-13,0,-0.08,0,-0.08
1.89,-0.08,-2.620202042065675e-13,0,-0.08,0,-0.08
1.9,-0.08,-2.626866165255437e-13,0,-0.08,0,-0.08
1.91,-0.08,-2.633486793541311e-13,0,-0.08,0,-0.08
1.92,-0.08,-2.640064208505057e-13,0,-0.08,0,-0.08
1.93,-0.08,-2.646598689580377e-13,0,-0.08,0,-0.08
1.94,-0.08,-2.65309051405291e-13,0,-0.08,0,-0.08
1.95,-0.08,-2.659539957060228e-13,0,-0.08,0,-0.08
1.96,-0.08,-2.665947291591838e-13,0,-0.08,0,-0.08
1.97,-0.08,-2.672312788489169e-13,0,-0.08,0,-0.08
1.98,-0.08,-2.678636716445582e-13,0,-0.08,0,-0.08
1.99,-0.08,-2.684919342006352e-13,0,-0.08,0,-0.08
2,-0.08,-2.69116092956868e-13,0,-0.08,0,-0.08
2.01,-0.08,-2.697361741381678e-13,0,-0.08,0,-0.08
2.02,-0.08,-2.703522244957043e-13,0,-0.08,0,-0.08
2.03,-0.08,-2.709642548271543e-13,0,-0.08,0,-0.08
2.04,-0.08,-2.715722911531398e-13,0,-0.08,0,-0.08
2.05,-0.08,-2.721763595183668e-13,0,-0.08,0,-0.08
2.06,-0.08,-2.727764857833565e-13,0,-0.08,0,-0.08
2.07,-0.08,-2.733726956244459e-13,0,-0.08,0,-0.08
2.08,-0.08,-2.739650145337872e-13,0,-0.08,0,-0.08
2.09,-0.08,-2.745534678193483e-13,0,-0.08,0,-0.08
2.1,-0.08,-2.75138080604913e-13,0,-0.08,0,-0.08
2.11,-0.08,-2.757188778300808e-13,0,-0.08,0,-0.08
2.12,-0.08,-2.762958842502671e-13,0,-0.08,0,-0.08
2.13,-0.08,-2.768691244367035e-13,0,-0.08,0,-0.08
2.14,-0.08,-2.774386227764371e-13,0,-0.08,0,-0.08
2.15,-0.08,-2.780044034723315e-13,0,-0.08,0,-0.08
2.16,-0.08,-2.785664917732637e-13,0,-0.08,0,-0.08
2.17,-0.08,-2.791249120165862e-13,0,-0.08,0,-0.08
2.18,-0.08,-2.796796868235294e-13,0,-0.08,0,-0.08
2.19,-0.08,-2.802308397356125e-13,0,-0.08,0,-0.08
2.2,-0.08,-2.80778394113445e-13,0,-0.08,0,-0.08
2.21,-0.08,-2.81322373136727e-13,0,-0.08,0,-0.08
2.22,-0.08,-2.818627998042501e-13,0,-0.08,0,-0.08
2.23,-0.08,-2.823996969338966e-13,0,-0.08,0,-0.08
2.24,-0.08,-2.829330871626411e-13,0,-0.08,0,-0.08
2.25,-0.08,-2.834629929465494e-13,0,-0.08,0,-0.08
2.26,-0.08,-2.839894365607796e-13,0,-0.08,0,-0.08
2.27,-0.08,-2.845124400995823e-13,0,-0.08,0,-0.08
2.28,-0.08,-2.850320254763004e-13,0,-0.08,0,-0.08
2.29,-0.08,-2.855482144233696e-13,0,-0.08,0,-0.08
2.3,-0.08,-2.860610285433034e-13,0,-0.08,0,-0.08
