"time","l2.v","act_steady","act_steady2","act_tau","act_tau2","inact_steady","inact_steady2","inact_tau","inact_tau2","v","vc.v"
0,-0.08,0.03103899788403282,0.009951801866904324,0.002987337079367895,0.002987337079367895,0.999189231462188,0.999189231462188,1.526839504980859,1.526839504980859,-0.08,-0.08
1,-0.07900000000000007,0.03456886404154035,0.01212843498427407,0.003042840162067962,0.003042840162067962,0.9990894903833289,0.9990894903833288,1.551523206791992,1.551523206791992,-0.07900000000000007,-0.07900000000000007
2,-0.07800000000000012,0.03848421568433334,0.01477403169327268,0.003098805865853376,0.003098805865853376,0.9989773748847807,0.9989773748847806,1.576769171502362,1.576769171502362,-0.07800000000000012,-0.07800000000000012
3,-0.0770000000000001,0.04282335883215631,0.01798620996209121,0.003155156543415345,0.003155156543415345,0.9988513309094503,0.9988513309094504,1.60260054807279,1.60260054807279,-0.0770000000000001,-0.0770000000000001
4,-0.07600000000000008,0.04762751166864752,0.02188127093613012,0.003211802160832726,0.003211802160832725,0.9987096059594902,0.9987096059594902,1.629041789342397,1.629041789342397,-0.07600000000000008,-0.07600000000000008
5,-0.07500000000000011,0.05294081072427032,0.02659699357686527,0.003268638880245054,0.003268638880245055,0.9985502232242259,0.998550223224226,1.656118710672026,1.656118710672026,-0.07500000000000011,-0.07500000000000011
6,-0.07400000000000014,0.05881025549118362,0.03229546469844961,0.003325547535931955,0.003325547535931955,0.9983709522589995,0.9983709522589994,1.683858546247631,1.683858546247631,-0.07400000000000014,-0.07400000000000014
7,-0.07300000000000015,0.06528557581077798,0.03916572279676325,0.003382392010417088,0.003382392010417088,0.9981692757476687,0.9981692757476689,1.712290001635487,1.712290001635488,-0.07300000000000015,-0.07300000000000015
8,-0.07200000000000016,0.07241900454961075,0.04742587317756533,0.003439017522582206,0.003439017522582207,0.9979423518187017,0.9979423518187017,1.741443300848222,1.741443300848222,-0.07200000000000016,-0.07200000000000016
9,-0.07100000000000019,0.08026493656259338,0.05732417589886669,0.003495248846586937,0.003495248846586937,0.997686971314183,0.9976869713141832,1.771350225780941,1.771350225780942,-0.07100000000000019,-0.07100000000000019
10,-0.0700000000000002,0.08887945397376454,0.06913842034334422,0.003550888488858914,0.003550888488858915,0.9973995093319351,0.9973995093319349,1.802044145397787,1.802044145397786,-0.0700000000000002,-0.0700000000000002
11,-0.06900000000000021,0.09831969768706286,0.08317269649391909,0.003605714860746177,0.003605714860746177,0.9970758702726887,0.9970758702726886,1.833560031476237,1.833560031476237,-0.06900000000000021,-0.06900000000000021
12,-0.06800000000000021,0.1086430661339894,0.09975048911968123,0.00365948049676593,0.003659480496765929,0.9967114255263387,0.9967114255263388,1.865934457032678,1.865934457032678,-0.06800000000000021,-0.06800000000000021
13,-0.06700000000000021,0.1199062249810555,0.1192029220221131,0.003711910382817564,0.003711910382817564,0.9963009428234181,0.9963009428234181,1.899205572738005,1.899205572738005,-0.06700000000000021,-0.06700000000000021
14,-0.0660000000000002,0.1321639162880926,0.1418510649004829,0.003762700475202529,0.003762700475202528,0.9958385061600666,0.9958385061600665,1.933413055663961,1.933413055663961,-0.0660000000000002,-0.0660000000000002
15,-0.0650000000000002,0.1454675628375186,0.1679816148660699,0.003811516509568539,0.003811516509568538,0.9953174250774098,0.9953174250774098,1.968598023553295,1.968598023553295,-0.0650000000000002,-0.0650000000000002
16,-0.0640000000000002,0.1598636733674407,0.197816111441412,0.003857993218466983,0.003857993218466981,0.9947301319405801,0.9947301319405802,2.004802906450531,2.004802906450531,-0.0640000000000002,-0.0640000000000002
17,-0.06300000000000019,0.1753920673906486,0.2314752165009755,0.00390173409622825,0.00390173409622825,0.9940680657208093,0.9940680657208093,2.042071265932519,2.042071265932519,-0.06300000000000019,-0.06300000000000019
18,-0.06200000000000019,0.1920839540483032,0.2689414213699874,0.003942311869033197,0.003942311869033197,0.9933215406396562,0.9933215406396562,2.080447550303487,2.080447550303487,-0.06200000000000019,-0.06200000000000019
19,-0.06100000000000019,0.2099599175334693,0.3100255188723794,0.003979269844587062,0.003979269844587062,0.9924795978930191,0.9924795978930191,2.119976771930203,2.119976771930203,-0.06100000000000019,-0.06100000000000019
