"time","l2.v","act_steady","act_tau","inact_steady","inact_tau_fast","inact_tau_slow","v","vc.v"
0,-0.12,0.0004217265149798654,0.0005960784173636874,0.9999992362062798,0.9181988371599887,0.109431448025961,-0.12,-0.12
1,-0.1189999999999999,0.0004482298370908768,0.0005960884153304978,0.9999991006283884,0.8880375179450873,0.1117288267940067,-0.1189999999999999,-0.1189999999999999
2,-0.1179999999999999,0.0004763979615855221,0.0005960996880065325,0.9999989409846468,0.8586584095563683,0.1145275905812051,-0.1179999999999999,-0.1179999999999999
3,-0.1169999999999999,0.000506335359884361,0.0005961123979131787,0.999998753003239,0.8300560685236723,0.117922369764067,-0.1169999999999999,-0.1169999999999999
4,-0.1159999999999999,0.0005381530459693692,0.0005961267282927783,0.9999985316540831,0.8022240185328747,0.1220221692707859,-0.1159999999999999,-0.1159999999999999
5,-0.1149999999999999,0.00057196898438507,0.0005961428857504809,0.9999982710142363,0.7751548221250959,0.1269517879963424,-0.1149999999999999,-0.1149999999999999
6,-0.1139999999999999,0.0006079085234586924,0.0005961611032329229,0.9999979641094119,0.7488401518962575,0.1328532160137947,-0.1139999999999999,-0.1139999999999999
7,-0.113,0.0006461048552690173,0.0005961816433866757,0.9999976027273625,0.7232708608279501,0.1398869674455062,-0.113,-0.113
8,-0.112,0.0006866995039825336,0.0005962048023448847,0.9999971771981447,0.6984370514175356,0.1482332993352461,-0.112,-0.112
9,-0.111,0.0007298428442691246,0.0005962309139966853,0.9999966761353768,0.6743281433121266,0.158093259410828,-0.111,-0.111
10,-0.11,0.0007756946516080325,0.0005962603548009543,0.9999960861315749,0.6509329391870839,0.1696894985579743,-0.11,-0.11
11,-0.109,0.0008244246863982946,0.0005962935492137876,0.9999953913994158,0.6282396886446814,0.1832667775012238,-0.109,-0.109
12,-0.108,0.000876213313896545,0.0005963309758079559,0.9999945733493265,0.6062361499422757,0.1990920920132572,-0.108,-0.108
13,-0.107,0.0009312521621190622,0.0005963731741725541,0.9999936100921053,0.5849096493914253,0.2174543373907981,-0.107,-0.107
14,-0.106,0.0009897448199644595,0.0005964207526923145,0.9999924758532697,0.5642471382997951,0.2386634314043065,-0.106,-0.106
15,-0.105,0.001051907577938494,0.000596474397318726,0.9999911402834668,0.544235247356143,0.2630488159134659,-0.105,-0.105
16,-0.104,0.001117970213993319,0.0005965348814594034,0.9999895676465049,0.524860338385192,0.2909572612849651,-0.104,-0.104
17,-0.103,0.001188176827130139,0.0005966030771282599,0.9999877158632945,0.5061085534235824,0.3227499050530807,-0.103,-0.103
18,-0.102,0.001262786721556766,0.0005966799675172123,0.9999855353861359,0.4879658610904617,0.3587984672551428,-0.102,-0.102
19,-0.101,0.001342075344339964,0.0005967666611706258,0.9999829678732602,0.4704181002464977,0.39948059978104,-0.101,-0.101
20,-0.09999999999999999,0.001426335279646848,0.0005968644079667985,0.9999799446281945,0.4534510209532909,0.4451743459974827,-0.09999999999999999,-0.09999999999999999
21,-0.09899999999999999,0.001515877302829674,0.0005969746171368177,0.9999763847622464,0.4370503227613495,0.49625170978699,-0.09899999999999999,-0.09899999999999999
22,-0.09799999999999999,0.001611031497774251,0.0005970988775804603,0.9999721930310155,0.4212016903690223,0.5530713597423587,-0.09799999999999999,-0.09799999999999999
23,-0.09699999999999999,0.001712148441103601,0.0005972389807718854,0.9999672572871445,0.4058908267071736,0.6159705241460783,-0.09699999999999999,-0.09699999999999999
24,-0.09599999999999999,0.00181960045700503,0.0005973969465851424,0.9999614454812942,0.391103483515012,0.6852561648985431,-0.09599999999999999,-0.09599999999999999
25,-0.09499999999999999,0.001933782946630444,0.0005975750524115365,0.9999546021312976,0.3768254894814507,0.7611955528863477,-0.09499999999999999,-0.09499999999999999
26,-0.09399999999999999,0.002055115796205557,0.0005977758659882298,0.9999465441652913,0.3630427760338135,0.8440064023476367,-0.09399999999999999,-0.09399999999999999
27,-0.093,0.002184044868173599,0.000598002282410809,0.9999370560279832,0.3497414008616834,0.9338467563585264,-0.093,-0.093
28,-0.092,0.002321043579891983,0.0005982575658626416,0.9999258839196473,0.3369075692683849,1.030804848246285,-0.092,-0.092
29,-0.091,0.002466614574595643,0.0005985453966615416,0.9999127290144337,0.3245276534460646,1.134889193038561,-0.091,-0.091
30,-0.09,0.002621291489537088,0.0005988699243004876,0.9998972394775698,0.3125882097727299,1.246019187440761,-0.09,-0.09
31,-0.089,0.00278564082640951,0.0005992358272449574,0.9998790010692749,0.301075994231029,1.364016514767451,-0.089,-0.089
32,-0.08799999999999999,0.002960263929353867,0.0005996483803460167,0.9998575260859613,0.2899779760490969,1.488597661298042,-0.08799999999999999,-0.08799999999999999
33,-0.08699999999999999,0.003145799076042124,0.0006001135308369316,0.9998322403455641,0.2792813496635821,1.619367851405516,-0.08699999999999999,-0.08699999999999999
34,-0.08600000000000001,0.003342923687514442,0.0006006379840032111,0.9998024678725748,0.2689735451040664,1.755816699485096,-0.08600000000000001,-0.08600000000000001
35,-0.08500000000000001,0.00355235666262594,0.0006012292997531931,0.9997674128782845,0.2590422368966281,1.897315856468886,-0.08500000000000001,-0.08500000000000001
36,-0.08400000000000001,0.003774860843125344,0.0006018960014703152,0.9997261385614016,0.2494753515823181,2.043118897215539,-0.08400000000000001,-0.08400000000000001
37,-0.083,0.004011245615540913,0.0006026476987009204,0.9996775421719784,0.2402610739439342,2.192363652410003,-0.083,-0.083
38,-0.082,0.004262369656183623,0.0006034952254248612,0.9996203256855122,0.2313878520317363,2.344077135368682,-0.082,-0.082
39,-0.08100000000000002,0.004529143825690587,0.0006044507958723988,0.9995529613220684,0.2228444010757237,2.497183151382151,-0.08100000000000002,-0.08100000000000002
40,-0.08000000000000002,0.004812534219616939,0.0006055281800921428,0.9994736510148711,0.2146197063688511,2.650512606487091,-0.08000000000000002,-0.08000000000000002
41,-0.07900000000000001,0.005113565381637292,0.0006067429017432383,0.9993802787813328,0.2067030252021425,2.802816455842502,-0.07900000000000001,-0.07900000000000001
42,-0.07800000000000001,0.005433323685931162,0.0006081124608827492,0.9992703547740248,0.1990838879291257,2.952781151593127,-0.07800000000000001,-0.07800000000000001
43,-0.07700000000000001,0.005772960895293806,0.0006096565848480401,0.9991409495864225,0.1917520982333897,3.099046368956164,-0.07700000000000001,-0.07700000000000001
44,-0.07600000000000003,0.006133697901425824,0.0006113975106951885,0.998988617155141,0.184697732669411,3.240224710207315,-0.07600000000000003,-0.07600000000000003
45,-0.07500000000000002,0.006516828653703351,0.0006133603030484938,0.9988093043334156,0.1779111395431189,3.374923012311924,-0.07500000000000002,-0.07500000000000002
46,-0.07400000000000002,0.00692372428250389,0.0006155732116419944,0.9985982449067194,0.1713829371950262,3.501764818160929,-0.07400000000000002,-0.07400000000000002
47,-0.07300000000000002,0.00735583742285098,0.0006180680732884524,0.9983498354779601,0.1651040117451358,3.619413516578573,-0.07300000000000002,-0.07300000000000002
48,-0.07200000000000004,0.007814706743728743,0.0006208807634882251,0.9980574902651189,0.1590655143552955,3.72659561501568,-0.07200000000000004,-0.07200000000000004
49,-0.07100000000000004,0.008301961687892665,0.0006240517033788695,0.9977134714285234,0.1532588580612072,3.822123583244819,-0.07100000000000004,-0.07100000000000004
50,-0.07000000000000003,0.008819327426347324,0.0006276264282085579,0.9973086910810424,0.1476757142229308,3.904917698002853,-0.07000000000000003,-0.07000000000000003
51,-0.06900000000000002,0.009368630030859493,0.0006316562239651512,0.9968324806393191,0.1423080086394591,3.974026328316789,-0.06900000000000002,-0.06900000000000002
52,-0.06800000000000002,0.0099518018669043,0.0006361988391671668,0.9962723226608454,0.1371479173698017,4.028644129433202,-0.06800000000000002,-0.06800000000000002
53,-0.06700000000000002,0.01057088720828279,0.0006413192790628105,0.9956135398022706,0.1321878622999856,4.068127659348241,-0.06700000000000002,-0.06700000000000002
